,CAH
Price/Earnings (TTM),
Price/Sales (TTM),0.0946
Price/Book (MRQ),14.18202
Price/Cash Flow (TTM),
5yr Low,39.05
5yr High,91.23
5yr Avg Return,-0.07476666666666666
EPS Growth 5yr,0.060800900000000005
Revenue Growth 5yr,0.0982582
Dividend Growth 5yr,0.0950427
Short Int Current Month,4403567.0
Short Int Prev Month,3627298.0
Short Int Pct of Float,0.015119
Days to Cover,1.86769
Float,291.3322
Shares Outstanding,291.7835
Institutions Holding Shares,979.0
% Held by Institutions,0.8938849999999999
FCF Growth 5yr,0.2857734616490869
