,CAT
% Above Low,0.2813
% Held by Institutions,0.6738
52-Wk Range,['87.50 - 150.55']
Annual Dividend $,4.12
Annual Dividend %,0.0384
Ask,112.43
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,112.03
Bid Size,100.0
Change Since Close,0.07| |(0.06%)
Closing Price,112.11
Day Change $,4.82
Day Change %,0.0449
Day High,112.2
Day Low,108.3
Dividend Pay Date,2020-05-20 00:00:00
"EPS (TTM, GAAP)",9.43
Ex-dividend,2020-04-17 00:00:00
Ex-dividend Date,04/17/20
Historical Volatility,0.406
Last (size),300.0
Last (time),6:30p ET 05/08/20
Last Trade,112.18
Market Cap,60.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.38
Prev Close,107.29
Shares Outstanding,541.2M
Short Interest,0.0182
Today's Open,108.97
Volume,3913422.0
Volume 10-day Avg,4269232.0
Volume Past Day,(Average)
