,CB
% Above Low,0.1671
% Held by Institutions,0.8675
52-Wk Range,['87.35 - 167.74']
Annual Dividend $,3.0
Annual Dividend %,0.030299999999999997
Ask,129.42
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,96.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,101.95
Day Change $,2.96
Day Change %,0.029900000000000003
Day High,102.24
Day Low,99.38
Dividend Pay Date,2020-04-10 00:00:00
"EPS (TTM, GAAP)",8.01
Ex-dividend,2020-03-19 00:00:00
Ex-dividend Date,03/19/20
Historical Volatility,0.42
Last (size),10.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,46.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",12.36
Prev Close,98.99
Short Interest,0.008
Today's Open,100.8
Volume,4827990.0
Volume 10-day Avg,3526493.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.16410256410256407
Growth 1yr High Est,0.020793950850661602
Growth 1yr Consensus Est,-0.07165430662595124
Growth 2yr Low Est,0.0314456504640554
Growth 2yr High Est,0.07058216061051592
Growth 2yr Consensus Est,0.05101390553728566
Growth 5yr Low Est,0.10997882031298692
Growth 5yr High Est,0.13097899710206662
Growth 5yr Consensus Est,0.12047890870752677
Growth 5yr Actual/Est,0.12140473801643903
Growth 3yr Historic,0.09827585695295066
Price/Earnings (TTM),12.36164
Price/Sales (TTM),1.31211
Price/Book (MRQ),0.85601
Price/Cash Flow (TTM),11.26004
5yr Low,87.35
5yr High,167.74
5yr Avg Return,0.013933333333333332
EPS Growth 5yr,0.0289156
Revenue Growth 5yr,0.1222262
Dividend Growth 5yr,0.0185576
Short Int Current Month,3574857.0
Short Int Prev Month,4011517.0
Short Int Pct of Float,0.0079711
Days to Cover,1.5844
Float,448.966
Shares Outstanding,451.3572
Institutions Holding Shares,1448.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",12.36
"PEG Ratio (TTM, GAAP)",28.55
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.13240000000000002
Net Profit Margin (TTM),0.1077
Annual Dividend Yield,0.030299999999999997
Dividend Change %,0.0278
"Dividend Growth Rate, 3 Years",0.0286
EPS Growth (MRQ),-0.7845000000000001
EPS Growth (TTM),-0.0433
Revenue Growth (MRQ),-0.1199
Revenue Growth (TTM),0.0374
Return On Equity (TTM),0.0701
Return On Assets (TTM),0.0213
Return On Investment (TTM),
Revenue Per Employee (TTM),1031879.0
Total Debt/Total Capital (MRQ),0.22460000000000002
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.29
newConstructs,2
researchTeam,hold
theStreet,hold
cfra,3
ford,2
marketEdge opinion,avoid
marketEdge,0
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-24 00:00:00
theStreet since,2020-03-24 00:00:00
cfra since,2020-04-25 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-11-05 00:00:00
