,CBRE
% Above Low,0.42619999999999997
% Held by Institutions,0.9464
52-Wk Range,['29.17 - 64.75']
Annual Dividend $,
Annual Dividend %,
Ask,45.0
Ask Size,1500.0
B/A Ratio,0.06666666666666667
B/A Size,100x1500
Beta,1.7
Bid,36.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,41.6
Day Change $,0.71
Day Change %,0.0174
Day High,42.54
Day Low,41.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.87
Ex-dividend Date,No dividend
Historical Volatility,0.523
Last (size),31800.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,14.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.57
Prev Close,40.89
Shares Outstanding,336.2M
Short Interest,0.0222
Today's Open,41.65
Volume,1370049.0
Volume 10-day Avg,1927591.0
Volume Past Day,(Light)
