,CCI
Price/Earnings (TTM),87.49731
Price/Sales (TTM),11.16123
Price/Book (MRQ),6.37345
Price/Cash Flow (TTM),27.8356
5yr Low,75.71
5yr High,168.75
5yr Avg Return,0.12271666666666668
EPS Growth 5yr,0.1452282
Revenue Growth 5yr,0.1024518
Dividend Growth 5yr,0.1959414
Short Int Current Month,7164084.0
Short Int Prev Month,8004718.0
Short Int Pct of Float,0.0172835
Days to Cover,2.92551
Float,414.5281
Shares Outstanding,416.7512
Institutions Holding Shares,1353.0
% Held by Institutions,0.906382
FCF Growth 5yr,-0.06062604277200234
