,CDW
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.15242881072026804
Growth 1yr High Est,-0.02796052631578949
Growth 1yr Consensus Est,-0.09019466851802876
Growth 2yr Low Est,-0.005068160300845448
Growth 2yr High Est,0.05285560824650454
Growth 2yr Consensus Est,0.023893723972829545
Growth 5yr Low Est,0.12503983471642566
Growth 5yr High Est,0.15223051595348566
Growth 5yr Consensus Est,0.13863517533495567
Growth 5yr Actual/Est,0.14168651726290069
Growth 3yr Historic,0.13243834938463012
