,2015,2016,2017,2018,2019,2020,Report
high,74.19,84.97,109.7,119.29,128.88,124.59,
low,54.35,55.07,78.38,82.91,87.23,52.7,
change,0.0012,0.1887,0.3483,-0.1623,0.3899,-0.33240000000000003,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,967.0,638.0,576.0,439.0,463.0,,Balance Sheet
Short Term Investments,30.0,30.0,32.0,31.0,40.0,,Balance Sheet
Cash and Short Term Invs,997.0,668.0,608.0,470.0,503.0,,Balance Sheet
"Trade Accts Recvble, Gross",712.0,807.0,995.0,1027.0,859.0,,Balance Sheet
Prov. for Doubtful Accts,-6.0,-6.0,-9.0,-10.0,-9.0,,Balance Sheet
"Trade Accts Recvble, Net",706.0,801.0,986.0,1017.0,850.0,,Balance Sheet
Other Receivables,285.0,223.0,244.0,301.0,331.0,,Balance Sheet
"Total Receivables, Net",991.0,1024.0,1230.0,1318.0,1181.0,,Balance Sheet
Invent. - Finished Goods,498.0,506.0,591.0,697.0,718.0,,Balance Sheet
Invent. - Work In Progress,43.0,45.0,57.0,70.0,76.0,,Balance Sheet
Invent. - Raw Materials,141.0,169.0,252.0,279.0,244.0,,Balance Sheet
Total Inventory,682.0,720.0,900.0,1046.0,1038.0,,Balance Sheet
Deferred Income Tax,136.0,130.0,211.0,255.0,257.0,,Balance Sheet
Other Current Assets,49.0,60.0,54.0,40.0,43.0,,Balance Sheet
"Other Curr. Assets, Total",117.0,60.0,54.0,40.0,43.0,,Balance Sheet
Total Current Assets,2787.0,2472.0,2792.0,2874.0,2765.0,,Balance Sheet
Buildings,739.0,765.0,830.0,837.0,853.0,,Balance Sheet
Land/Improvements,39.0,38.0,47.0,46.0,46.0,,Balance Sheet
Machinery/Equipment,4609.0,4753.0,5101.0,5223.0,5316.0,,Balance Sheet
Construction in Progress,261.0,260.0,368.0,416.0,455.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,203.0,,Balance Sheet
Prop./Plant/Equip. - Gross,5648.0,5816.0,6346.0,6522.0,6873.0,,Balance Sheet
Accumulated Depreciation,-2039.0,-2239.0,-2584.0,-2803.0,-2957.0,,Balance Sheet
Prop./Plant/Equip. - Net,3609.0,3577.0,3762.0,3719.0,3916.0,,Balance Sheet
"Goodwill, Net",705.0,796.0,1003.0,1057.0,1074.0,,Balance Sheet
Intangibles - Gross,653.0,718.0,892.0,906.0,924.0,,Balance Sheet
Accum. Intangible Amort.,-528.0,-524.0,-591.0,-596.0,-612.0,,Balance Sheet
Intangibles - Net,125.0,194.0,301.0,310.0,312.0,,Balance Sheet
Long Term Investments,838.0,852.0,976.0,979.0,975.0,,Balance Sheet
Other Long Term Assets,300.0,307.0,338.0,290.0,338.0,,Balance Sheet
Total Assets,8586.0,8357.0,9538.0,9313.0,9476.0,,Balance Sheet
Accounts Payable,587.0,625.0,807.0,819.0,780.0,,Balance Sheet
Accrued Expenses,140.0,143.0,160.0,170.0,175.0,,Balance Sheet
Notes Payable/ST Debt,457.0,91.0,263.0,194.0,468.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,56.0,27.0,63.0,367.0,28.0,,Balance Sheet
Income Taxes Payable,90.0,12.0,72.0,56.0,17.0,,Balance Sheet
Other Current Liabilities,190.0,179.0,194.0,173.0,286.0,,Balance Sheet
"Other Curr. Lblts, Total",310.0,191.0,266.0,229.0,303.0,,Balance Sheet
Total Current Liabilities,1550.0,1077.0,1559.0,1779.0,1754.0,,Balance Sheet
Long Term Debt,2468.0,2890.0,3315.0,2970.0,3291.0,,Balance Sheet
Capital Lease Obligations,,,,,118.0,,Balance Sheet
Total Long Term Debt,2468.0,2890.0,3315.0,2970.0,3409.0,,Balance Sheet
Total Debt,2981.0,3008.0,3641.0,3531.0,3905.0,,Balance Sheet
