,2015,2016,2017,2018,2019,2020,Report
high,75.0,67.5,73.86,73.43,76.47,80.9,
low,55.82,47.01,47.09,48.78,50.51,53.08,
change,-0.11080000000000001,-0.1978,0.4128,-0.2237,0.42619999999999997,-0.064,
Date,,2016-12-31 00:00:00,2017-12-30 00:00:00,2018-12-29 00:00:00,2019-12-28 00:00:00,,Balance Sheet
Cash & Equivalents,,171.0,371.0,374.0,442.0,,Balance Sheet
Short Term Investments,,186.0,435.0,401.0,100.0,,Balance Sheet
Cash and Short Term Invs,,356.0,806.0,775.0,542.0,,Balance Sheet
"Trade Accts Recvble, Gross",,959.0,1083.0,1237.0,1246.0,,Balance Sheet
Prov. for Doubtful Accts,,-43.0,-53.0,-65.0,-106.0,,Balance Sheet
"Trade Accts Recvble, Net",,916.0,1030.0,1173.0,1140.0,,Balance Sheet
Other Receivables,,29.0,13.0,11.0,0.0,,Balance Sheet
"Total Receivables, Net",,945.0,1043.0,1183.0,1140.0,,Balance Sheet
Total Inventory,,15.0,16.0,25.0,23.0,,Balance Sheet
Prepaid Expenses,,303.0,516.0,335.0,392.0,,Balance Sheet
"Other Curr. Assets, Total",,,,,,,Balance Sheet
Total Current Assets,,1619.0,2380.0,2319.0,2097.0,,Balance Sheet
Buildings,,226.0,217.0,215.0,215.0,,Balance Sheet
Land/Improvements,,962.0,1052.0,1239.0,1375.0,,Balance Sheet
Machinery/Equipment,,1365.0,1513.0,1688.0,1857.0,,Balance Sheet
Other Prop./Plant/Equip.,,105.0,127.0,132.0,256.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,2659.0,2908.0,3274.0,3701.0,,Balance Sheet
Accumulated Depreciation,,-1106.0,-1305.0,-1530.0,-1720.0,,Balance Sheet
Prop./Plant/Equip. - Net,,1553.0,1603.0,1744.0,1982.0,,Balance Sheet
"Goodwill, Net",,844.0,853.0,848.0,883.0,,Balance Sheet
Intangibles - Gross,,2830.0,3167.0,3454.0,2071.0,,Balance Sheet
Accum. Intangible Amort.,,-1545.0,-1865.0,-2154.0,-766.0,,Balance Sheet
Intangibles - Net,,1285.0,1302.0,1300.0,1304.0,,Balance Sheet
Long Term Investments,,109.0,197.0,300.0,419.0,,Balance Sheet
Other Long Term Assets,,219.0,134.0,199.0,209.0,,Balance Sheet
Total Assets,,5630.0,6469.0,6709.0,6895.0,,Balance Sheet
Accounts Payable,,238.0,219.0,294.0,273.0,,Balance Sheet
Accrued Expenses,,269.0,248.0,265.0,275.0,,Balance Sheet
Notes Payable/ST Debt,,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,26.0,12.0,5.0,0.0,,Balance Sheet
Customer Advances,,312.0,311.0,399.0,360.0,,Balance Sheet
Other Current Liabilities,,,,,119.0,,Balance Sheet
"Other Curr. Lblts, Total",,312.0,311.0,399.0,479.0,,Balance Sheet
Total Current Liabilities,,845.0,790.0,963.0,1027.0,,Balance Sheet
Long Term Debt,,538.0,515.0,439.0,1038.0,,Balance Sheet
Capital Lease Obligations,,,,,0.0,,Balance Sheet
Total Long Term Debt,,538.0,515.0,439.0,1038.0,,Balance Sheet
Total Debt,,564.0,527.0,444.0,1038.0,,Balance Sheet
Deferred Income Tax,,306.0,366.0,336.0,378.0,,Balance Sheet
"Other Liabilities, Total",,13.0,14.0,42.0,134.0,,Balance Sheet
Total Liabilities,,1702.0,1684.0,1780.0,2577.0,,Balance Sheet
Common Stock,,4.0,4.0,4.0,4.0,,Balance Sheet
Additional Paid-In Capital,,1231.0,1380.0,1560.0,1905.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),,4094.0,4939.0,5577.0,5935.0,,Balance Sheet
Treasury Stock - Common,,-1291.0,-1464.0,-2108.0,-3408.0,,Balance Sheet
"Other Equity, Total",,-110.0,-73.0,-104.0,-119.0,,Balance Sheet
Total Equity,,3928.0,4785.0,4928.0,4317.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,,5630.0,6469.0,6709.0,6895.0,,Balance Sheet
Ttl Comm. Shares Outs.,,330.0,332.0,324.0,311.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,24.0,27.0,38.0,57.0,,Balance Sheet
Date,,2016-12-31 00:00:00,2017-12-30 00:00:00,2018-12-29 00:00:00,2019-12-28 00:00:00,,Income Statement
Total Revenue,,4796.0,5142.0,5366.0,5693.0,,Income Statement
"Cost of Revenue, Total",,779.0,854.0,937.0,1071.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",,2464.0,2632.0,2883.0,3196.0,,Income Statement
Research & Development,,411.0,432.0,473.0,510.0,,Income Statement
Depreciation/Amortization,,231.0,264.0,298.0,315.0,,Income Statement
"Other Operat Expse, Total",,,,,,,Income Statement
Total Operating Expense,,3885.0,4182.0,4592.0,5092.0,,Income Statement
Total Operating Income,,911.0,960.0,775.0,601.0,,Income Statement
"Inter Expse,Net Non-Operat",,-4.0,-8.0,-8.0,-14.0,,Income Statement
"Inter Income, Non-Operating",,15.0,19.0,34.0,38.0,,Income Statement
"Invest Income, Non-Operat",,,,,30.0,,Income Statement
"Inter/Invest Inc, Non-Oper",,15.0,19.0,34.0,68.0,,Income Statement
OtherNon-OperatInc (Expnse),,-3.0,-4.0,0.0,0.0,,Income Statement
"Other, Net",,-3.0,-4.0,0.0,0.0,,Income Statement
Income Before Tax,,918.0,967.0,801.0,655.0,,Income Statement
Income Tax - Total,,282.0,246.0,171.0,125.0,,Income Statement
Income After Tax,,636.0,721.0,630.0,529.0,,Income Statement
Net Inc Before Extra Items,,636.0,721.0,630.0,529.0,,Income Statement
Total Extraordinary Items,,,146.0,0.0,0.0,,Income Statement
Total Net Income,,636.0,867.0,630.0,529.0,,Income Statement
Income Available to Common Excl. Extra. Items,,636.0,721.0,630.0,529.0,,Income Statement
Income Available to Common Incl. Extra. Items,,636.0,867.0,630.0,529.0,,Income Statement
Basic/Primary Weighted Average Shares,,338.0,331.0,330.0,318.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,,1.88,2.18,1.91,1.66,,Income Statement
Basic/Primary EPS Incl. Extra. Items,,1.88,2.62,1.91,1.66,,Income Statement
Diluted Weighted Average Shares,,344.0,338.0,334.0,321.0,,Income Statement
Diluted EPS Excl. Extra. Items,,1.85,2.13,1.89,1.65,,Income Statement
