,CHD
% Below High,0.0943
% Held by Institutions,0.8844
52-Wk Range,['47.98 - 80.99']
Annual Dividend $,0.96
Annual Dividend %,0.013300000000000001
Ask,74.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.3
Bid,72.1
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,73.35
Day Change $,0.97
Day Change %,0.0134
Day High,73.67
Day Low,72.95
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",2.67
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.311
Last (size),15.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,18.0B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",27.15
Prev Close,72.38
Short Interest,0.0318
Today's Open,73.25
Volume,1254180.0
Volume 10-day Avg,1701220.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,0.03658536585365857
Growth 1yr High Est,0.1354581673306774
Growth 1yr Consensus Est,0.08602176659216798
Growth 2yr Low Est,0.05750836920133917
Growth 2yr High Est,0.1045711889284966
Growth 2yr Consensus Est,0.08103977906491788
Growth 5yr Low Est,0.098363505259144
Growth 5yr High Est,0.12161102848040395
Growth 5yr Consensus Est,0.10998726686977398
Growth 5yr Actual/Est,0.10544886894130695
Growth 3yr Historic,0.06455220491393798
Price/Earnings (TTM),27.15346
Price/Sales (TTM),3.9743
Price/Book (MRQ),6.31266
Price/Cash Flow (TTM),20.84042
5yr Low,38.43
5yr High,80.99
5yr Avg Return,0.10763333333333333
EPS Growth 5yr,0.10172969999999999
Revenue Growth 5yr,0.0573332
Dividend Growth 5yr,0.07976670000000001
Short Int Current Month,7851319.0
Short Int Prev Month,7789609.0
Short Int Pct of Float,0.0318377
Days to Cover,5.50107
Float,245.3979
Shares Outstanding,245.8927
Institutions Holding Shares,1079.0
FCF Growth 5yr,0.07875699882623102
"Price/Earnings (TTM, GAAP)",27.15
"PEG Ratio (TTM, GAAP)",3.4
Gross Profit Margin (TTM),0.45670000000000005
Operating Profit Margin (TTM),0.2041
Net Profit Margin (TTM),0.1496
Annual Dividend Yield,0.013300000000000001
Dividend Change %,0.046
"Dividend Growth Rate, 3 Years",0.0862
EPS Growth (MRQ),0.5985
EPS Growth (TTM),0.1419
Revenue Growth (MRQ),0.0184
Revenue Growth (TTM),0.0702
Return On Equity (TTM),0.252
Return On Assets (TTM),0.09970000000000001
Return On Investment (TTM),0.12710000000000002
Revenue Per Employee (TTM),932958.0
Total Debt/Total Capital (MRQ),0.4969
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),0.81
Interest Coverage (MRQ),21.55
newConstructs,2
researchTeam,hold
cfra,3
theStreet,buy
ford,2
creditSuisse,neutral
marketEdge opinion,neutralfromlong
marketEdge,-2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
cfra since,2018-10-19 00:00:00
theStreet since,2009-08-23 00:00:00
ford since,2020-05-01 00:00:00
creditSuisse since,2019-03-06 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
