,CHTR
% Below High,0.0572
% Held by Institutions,0.6469
52-Wk Range,['345.67 - 546.54']
Annual Dividend $,
Annual Dividend %,
Ask,549.0
Ask Size,300.0
Ask close,515.53
B/A Ratio,4.333333333333333
B/A Size,1300x300
Beta,1.0
Bid,515.34
Bid Size,1300.0
Bid close,515.34
Change Since Close,0.00| |(0.00%)
Closing Price,515.28
Day Change $,1.03
Day Change %,0.002
Day High,521.46
Day Low,513.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.25
Ex-dividend Date,No dividend
Historical Volatility,0.324
Last (size),3000.0
Last (time),4:15p ET 05/08/20
Last Trade,515.28
Market Cap,106.4B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",62.34
Prev Close,514.25
Shares Outstanding,206.5M
Short Interest,0.0527
Today's Open,521.46
Volume,607700.0
Volume 10-day Avg,1106766.0
Volume Past Day,(Light)
