,2015,2016,2017,2018,2019,2020,Report
high,131.78,140.47,150.4,167.7,166.9,214.26,
low,103.77,111.24,118.41,113.57,143.58,150.95,
change,0.1816,-0.0425,0.2336,0.036000000000000004,0.0036,0.33039999999999997,
Date,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,,Balance Sheet
Cash and Short Term Invs,382.0,401.0,418.0,131.0,111.0,,Balance Sheet
"Trade Accts Recvble, Gross",523.0,574.0,568.0,607.0,635.0,,Balance Sheet
Prov. for Doubtful Accts,-4.0,-5.0,-3.0,-7.0,-4.0,,Balance Sheet
"Total Receivables, Net",519.0,569.0,565.0,600.0,631.0,,Balance Sheet
Invent. - Finished Goods,316.0,361.0,363.0,395.0,411.0,,Balance Sheet
Invent. - Work In Progress,3.0,3.0,3.0,9.0,6.0,,Balance Sheet
Invent. - Raw Materials,101.0,111.0,119.0,129.0,125.0,,Balance Sheet
LIFO Reserve,-35.0,-32.0,-26.0,-27.0,-30.0,,Balance Sheet
Total Inventory,385.0,443.0,459.0,506.0,512.0,,Balance Sheet
Prepaid Expenses,39.0,,,,,,Balance Sheet
Deferred Income Tax,95.0,82.0,61.0,72.0,50.0,,Balance Sheet
Other Current Assets,5.0,72.0,72.0,74.0,51.0,,Balance Sheet
"Other Curr. Assets, Total",104.0,72.0,72.0,74.0,51.0,,Balance Sheet
Total Current Assets,1429.0,1485.0,1514.0,1311.0,1305.0,,Balance Sheet
Buildings,515.0,524.0,524.0,574.0,596.0,,Balance Sheet
Land/Improvements,122.0,118.0,116.0,131.0,138.0,,Balance Sheet
Machinery/Equipment,2055.0,2063.0,2162.0,2275.0,2319.0,,Balance Sheet
Construction in Progress,65.0,112.0,130.0,77.0,131.0,,Balance Sheet
Prop./Plant/Equip. - Gross,2757.0,2817.0,2932.0,3057.0,3184.0,,Balance Sheet
Accumulated Depreciation,-1839.0,-1911.0,-2001.0,-2061.0,-2150.0,,Balance Sheet
Prop./Plant/Equip. - Net,918.0,906.0,931.0,996.0,1034.0,,Balance Sheet
"Goodwill, Net",1067.0,1197.0,1196.0,1602.0,1591.0,,Balance Sheet
Intangibles - Gross,882.0,1037.0,1035.0,1249.0,1247.0,,Balance Sheet
Accum. Intangible Amort.,-297.0,-302.0,-313.0,-320.0,-335.0,,Balance Sheet
Intangibles - Net,585.0,735.0,722.0,929.0,912.0,,Balance Sheet
Other Long Term Assets,165.0,187.0,210.0,222.0,274.0,,Balance Sheet
Total Assets,4164.0,4510.0,4573.0,5060.0,5116.0,,Balance Sheet
Accounts Payable,431.0,490.0,501.0,507.0,507.0,,Balance Sheet
Payable/Accrued,,113.0,107.0,119.0,114.0,,Balance Sheet
Accrued Expenses,548.0,319.0,279.0,245.0,273.0,,Balance Sheet
Notes Payable/ST Debt,95.0,523.0,404.0,199.0,396.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,300.0,0.0,400.0,0.0,,,Balance Sheet
Dividends Payable,,108.0,116.0,129.0,139.0,,Balance Sheet
Income Taxes Payable,31.0,0.0,0.0,,9.0,,Balance Sheet
Other Current Liabilities,,5.0,2.0,1.0,2.0,,Balance Sheet
"Other Curr. Lblts, Total",31.0,113.0,118.0,130.0,150.0,,Balance Sheet
Total Current Liabilities,1405.0,1558.0,1809.0,1200.0,1440.0,,Balance Sheet
Total Long Term Debt,1796.0,1789.0,1391.0,2284.0,2287.0,,Balance Sheet
Total Debt,2191.0,2312.0,2195.0,2483.0,2683.0,,Balance Sheet
Pension Benefits - Underfunded,299.0,335.0,298.0,283.0,280.0,,Balance Sheet
Other LT Liabilities,451.0,449.0,472.0,495.0,500.0,,Balance Sheet
"Other Liabilities, Total",750.0,784.0,770.0,778.0,780.0,,Balance Sheet
Total Liabilities,4046.0,4213.0,4031.0,4334.0,4557.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,0.0,0.0,0.0,,,Balance Sheet
Common Stock,159.0,159.0,159.0,159.0,159.0,,Balance Sheet
Additional Paid-In Capital,775.0,868.0,928.0,975.0,1046.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),1923.0,2163.0,2440.0,2797.0,3150.0,,Balance Sheet
Treasury Stock - Common,-2237.0,-2323.0,-2442.0,-2658.0,-3194.0,,Balance Sheet
Cum. Trans. Adjustment,,-353.0,-356.0,-384.0,-414.0,,Balance Sheet
Min. Pension Lblty Adj.,,-173.0,-150.0,-138.0,-165.0,,Balance Sheet
Other Comprehensive Income,-502.0,-44.0,-37.0,-25.0,-23.0,,Balance Sheet
"Other Equity, Total",-502.0,-570.0,-543.0,-547.0,-602.0,,Balance Sheet
Total Equity,118.0,297.0,542.0,726.0,559.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,4164.0,4510.0,4573.0,5060.0,5116.0,,Balance Sheet
Ttl Comm. Shares Outs.,129.0,129.0,129.0,128.0,126.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,30.0,29.0,30.0,31.0,33.0,,Balance Sheet
Date,2015-06-30 00:00:00,2016-06-30 00:00:00,2017-06-30 00:00:00,2018-06-30 00:00:00,2019-06-30 00:00:00,,Income Statement
Total Revenue,5655.0,5761.0,5973.0,6124.0,6214.0,,Income Statement
"Cost of Revenue, Total",3190.0,3163.0,3302.0,3449.0,3486.0,,Income Statement
Selling/Gen/Admin Expense,773.0,771.0,770.0,795.0,821.0,,Income Statement
Labor & Related Expense,25.0,35.0,40.0,42.0,35.0,,Income Statement
Advertising Expense,523.0,587.0,599.0,570.0,612.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",1321.0,1393.0,1409.0,1407.0,1468.0,,Income Statement
Research & Development,136.0,141.0,135.0,132.0,136.0,,Income Statement
Depreciation/Amortization,8.0,8.0,10.0,11.0,17.0,,Income Statement
"Inter Expense,Net Operatng",105.0,88.0,88.0,85.0,97.0,,Income Statement
"Interest Income, Operating",-4.0,-5.0,-4.0,-6.0,-3.0,,Income Statement
"Invest Income, Operating",-10.0,-14.0,-20.0,-9.0,-8.0,,Income Statement
"Inter/Invest Inc, Operating",-14.0,-19.0,-24.0,-15.0,-11.0,,Income Statement
Restructuring Charge,2.0,,,,,,Income Statement
Impair-Assets Held for Use,3.0,9.0,23.0,1.0,0.0,,Income Statement
Unusual Expense (Income),5.0,9.0,12.0,5.0,0.0,,Income Statement
Loss(Gain)/Sale Asts (Oper),,,-11.0,4.0,0.0,,Income Statement
