,CMA
% Above Low,0.3958
% Held by Institutions,0.8495
52-Wk Range,['24.28 - 77.13']
Annual Dividend $,2.72
Annual Dividend %,0.084
Ask,39.87
Ask Size,100.0
B/A Ratio,8.0
B/A Size,800x100
Beta,1.8
Bid,32.19
Bid Size,800.0
Closing Price,33.89
Day Change $,1.52
Day Change %,0.047
Day High,34.13
Day Low,32.93
Dividend Pay Date,2020-07-01 00:00:00
"EPS (TTM, GAAP)",5.29
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.612
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,4.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.11
Prev Close,32.37
Shares Outstanding,139.0M
Short Interest,0.027999999999999997
Today's Open,33.48
Volume,1794535.0
Volume 10-day Avg,2642440.0
Volume Past Day,(Light)
