,2015,2016,2017,2018,2019,2020,Report
high,100.87,124.01,155.29,197.08,224.91,225.36,
low,84.33,81.87,113.27,143.68,161.05,131.8,
change,-0.041299999999999996,0.299,0.25730000000000003,0.2874,0.0765,-0.0974,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,1693.0,1869.0,1904.0,1375.0,1551.0,,Balance Sheet
Short Term Investments,73.0,83.0,90.0,73.0,83.0,,Balance Sheet
Cash and Short Term Invs,1765.0,1952.0,1994.0,1447.0,1635.0,,Balance Sheet
"Trade Accts Recvble, Gross",360.0,368.0,362.0,556.0,495.0,,Balance Sheet
Prov. for Doubtful Accts,-2.0,-4.0,-2.0,-3.0,-3.0,,Balance Sheet
"Total Receivables, Net",358.0,364.0,360.0,553.0,492.0,,Balance Sheet
Restricted Cash - Current,32.0,30.0,0.0,2.0,4.0,,Balance Sheet
Other Current Assets,35750.0,37685.0,44553.0,39885.0,37437.0,,Balance Sheet
"Other Curr. Assets, Total",35782.0,37715.0,44553.0,39886.0,37441.0,,Balance Sheet
Total Current Assets,37905.0,40032.0,46907.0,41887.0,39568.0,,Balance Sheet
Buildings,529.0,360.0,354.0,390.0,393.0,,Balance Sheet
Land/Improvements,18.0,8.0,8.0,8.0,8.0,,Balance Sheet
Machinery/Equipment,400.0,362.0,404.0,441.0,578.0,,Balance Sheet
Other Prop./Plant/Equip.,333.0,293.0,310.0,372.0,948.0,,Balance Sheet
Prop./Plant/Equip. - Gross,1280.0,1022.0,1076.0,1210.0,1926.0,,Balance Sheet
Accumulated Depreciation,-789.0,-597.0,-677.0,-761.0,-868.0,,Balance Sheet
Prop./Plant/Equip. - Net,492.0,425.0,400.0,449.0,1059.0,,Balance Sheet
"Goodwill, Net",7569.0,7569.0,7569.0,10805.0,10743.0,,Balance Sheet
Intangibles - Gross,20496.0,20496.0,20496.0,23770.0,23701.0,,Balance Sheet
Accum. Intangible Amort.,-783.0,-879.0,-974.0,-1094.0,-1408.0,,Balance Sheet
Intangibles - Net,19713.0,19617.0,19522.0,22675.0,22293.0,,Balance Sheet
Long Term Investments,,992.0,999.0,1032.0,1019.0,,Balance Sheet
Other Long Term Assets,1611.0,673.0,393.0,627.0,534.0,,Balance Sheet
Total Assets,67359.0,69369.0,75791.0,77476.0,75215.0,,Balance Sheet
Accounts Payable,29.0,26.0,31.0,116.0,62.0,,Balance Sheet
Accrued Expenses,,,,,42.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,574.0,7.0,,Balance Sheet
"Other Curr. Lblts, Total",36796.0,38919.0,45642.0,40582.0,38411.0,,Balance Sheet
Total Current Liabilities,36825.0,38946.0,45673.0,41273.0,38523.0,,Balance Sheet
Long Term Debt,2229.0,2231.0,2233.0,3827.0,3743.0,,Balance Sheet
Capital Lease Obligations,,,,,92.0,,Balance Sheet
Total Long Term Debt,2229.0,2231.0,2233.0,3827.0,3835.0,,Balance Sheet
Total Debt,2229.0,2231.0,2233.0,4401.0,3842.0,,Balance Sheet
Deferred Income Tax,7358.0,7291.0,4858.0,5666.0,5635.0,,Balance Sheet
Minority Interest,,,,47.0,30.0,,Balance Sheet
"Other Liabilities, Total",396.0,561.0,616.0,745.0,1064.0,,Balance Sheet
Total Liabilities,46808.0,49029.0,53379.0,51557.0,49086.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,3.0,3.0,3.0,4.0,4.0,,Balance Sheet
Additional Paid-In Capital,17722.0,17827.0,17897.0,21054.0,21113.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),2908.0,2525.0,4497.0,4855.0,5009.0,,Balance Sheet
Unrealized Gain (Loss),-95.0,-20.0,1.0,0.0,1.0,,Balance Sheet
