,CMG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",75.18,21.2,Valuation,3.54622641509434
Price/Sales (TTM),4.4,8.37,Valuation,0.5256869772998806
Price/Book (MRQ),14.93,4.01,Valuation,3.7231920199501247
"PEG Ratio (TTM, GAAP)",4.04,18.88,Valuation,0.21398305084745764
Gross Profit Margin (TTM),0.26170000000000004,0.41659999999999997,Profitability,0.6281805088814212
Operating Profit Margin (TTM),0.0712,0.2093,Profitability,0.3401815575728619
Net Profit Margin (TTM),0.059500000000000004,0.125,Profitability,0.47600000000000003
Annual Dividend Yield,,0.016399999999999998,Dividend,
Dividend Change %,,0.1189,Dividend,
"Dividend Growth Rate, 3 Years",,0.0888,Dividend,
EPS Growth (MRQ),0.056799999999999996,-0.6061,Gowth rates,-0.09371390859594127
EPS Growth (TTM),0.6869,0.011200000000000002,Gowth rates,61.33035714285713
Revenue Growth (MRQ),-0.0204,-0.0718,Gowth rates,0.2841225626740947
Revenue Growth (TTM),0.1322,0.0302,Gowth rates,4.377483443708609
Return On Equity (TTM),0.2145,0.1537,Effectiveness,1.3955757970071567
Return On Assets (TTM),0.0688,0.10130000000000002,Effectiveness,0.6791707798617965
Return On Investment (TTM),0.0788,0.1311,Effectiveness,0.601067887109077
Revenue Per Employee (TTM),68541.0,156145.0,Effectiveness,0.4389573793589292
Total Debt/Total Capital (MRQ),0.0,1.3178999999999998,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0002,Financial strength,
Quick Ratio (MRQ),1.58,1.0,Financial strength,1.58
Interest Coverage (MRQ),,6.91,Financial strength,
