,CMI
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.6487603305785123
Growth 1yr High Est,-0.4619354838709677
Growth 1yr Consensus Est,-0.55534790722474
Growth 2yr Low Est,0.018757089612704614
Growth 2yr High Est,0.04541115494701009
Growth 2yr Consensus Est,0.03208412227985735
Growth 5yr Low Est,0.11249955487870295
Growth 5yr High Est,0.12913991437153655
Growth 5yr Consensus Est,0.12081973462511975
Growth 5yr Actual/Est,0.07531045451193463
Growth 3yr Historic,0.0931867097121335
