,CMI
Price/Earnings (TTM),11.42595
Price/Sales (TTM),1.01748
Price/Book (MRQ),3.24967
Price/Cash Flow (TTM),8.17536
5yr Low,79.88
5yr High,194.18
5yr Avg Return,0.08185
EPS Growth 5yr,0.0993084
Revenue Growth 5yr,0.0416466
Dividend Growth 5yr,0.117721
Short Int Current Month,3702276.0
Short Int Prev Month,3668287.0
Short Int Pct of Float,0.0250983
Days to Cover,2.98627
Float,147.0325
Shares Outstanding,147.5261
Institutions Holding Shares,1362.0
% Held by Institutions,0.824165
FCF Growth 5yr,0.15430247897712318
