,CMI
% Below High,0.1362
% Held by Institutions,0.8242
52-Wk Range,['101.03 - 186.73']
Annual Dividend $,5.24
Annual Dividend %,0.0337
Ask,162.39
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.2
Bid,151.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,161.29
Day Change $,5.57
Day Change %,0.0358
Day High,162.0
Day Low,158.03
Dividend Pay Date,2020-03-05 00:00:00
"EPS (TTM, GAAP)",13.63
Ex-dividend,2020-02-20 00:00:00
Ex-dividend Date,02/20/20
Historical Volatility,0.406
Last (size),1000.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,23.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.43
Prev Close,155.72
Shares Outstanding,147.5M
Short Interest,0.025099999999999997
Today's Open,158.03
Volume,896404.0
Volume 10-day Avg,1115241.0
Volume Past Day,(Below Average)
