,CMS
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.028225806451612767
Growth 1yr High Est,0.07600000000000007
Growth 1yr Consensus Est,0.05211290322580642
Growth 2yr Low Est,0.045485452245414226
Growth 2yr High Est,0.0733159851301115
Growth 2yr Consensus Est,0.059400718687762866
Growth 5yr Low Est,0.058502623951570465
Growth 5yr High Est,0.07211085221760305
Growth 5yr Consensus Est,0.06530673808458676
Growth 5yr Actual/Est,0.06961876378366139
Growth 3yr Historic,0.035600561697751276
