,COF
Price/Earnings (TTM),12.03541
Price/Sales (TTM),0.9629
Price/Book (MRQ),0.53645
Price/Cash Flow (TTM),4.63619
5yr Low,38.0
5yr High,107.59
5yr Avg Return,-0.00603333333333333
EPS Growth 5yr,0.0775916
Revenue Growth 5yr,0.08009430000000001
Dividend Growth 5yr,0.05922380000000001
Short Int Current Month,6706114.0
Short Int Prev Month,6697823.0
Short Int Pct of Float,0.0148021
Days to Cover,1.25449
Float,453.4856
Shares Outstanding,455.3101
Institutions Holding Shares,1202.0
% Held by Institutions,0.8947360000000001
FCF Growth 5yr,0.11274583855950335
