,2015,2016,2017,2018,2019,2020,Report
high,92.1,91.64,101.43,106.5,105.7,107.59,
low,67.73,58.03,76.05,69.9,74.39,38.0,
change,-0.1318,0.2327,0.12460000000000002,-0.2447,0.3815,-0.3985,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Due from Banks,3407.0,4185.0,4458.0,4768.0,4129.0,,Balance Sheet
Interest-Earning Deposits,4577.0,5791.0,9582.0,8418.0,9278.0,,Balance Sheet
Fed. Fund/Resale,39.0,,,,,,Balance Sheet
Securities Held,24619.0,25712.0,28984.0,36771.0,0.0,,Balance Sheet
Securities for Sale,39061.0,40737.0,37655.0,46150.0,79213.0,,Balance Sheet
Total Invest. Securities,63680.0,66449.0,66639.0,82921.0,79213.0,,Balance Sheet
Loans Held for Sale,904.0,1043.0,971.0,1192.0,400.0,,Balance Sheet
"Other Erng. Assets, Total",69200.0,73283.0,77192.0,92531.0,88891.0,,Balance Sheet
Total Gross Loans,229851.0,245586.0,254473.0,245899.0,265809.0,,Balance Sheet
Loan Loss Allowances,-5130.0,-6503.0,-7502.0,-7220.0,-7208.0,,Balance Sheet
Net Loans,224721.0,239083.0,246971.0,238679.0,258601.0,,Balance Sheet
Buildings,2674.0,2958.0,3302.0,3994.0,3903.0,,Balance Sheet
Land/Improvements,458.0,423.0,406.0,386.0,382.0,,Balance Sheet
Machinery/Equipment,1618.0,1681.0,1753.0,1847.0,1996.0,,Balance Sheet
Construction in Progress,514.0,591.0,902.0,482.0,689.0,,Balance Sheet
Other Prop./Plant/Equip.,1735.0,1834.0,1901.0,2018.0,3651.0,,Balance Sheet
Prop./Plant/Equip. - Gross,6999.0,7487.0,8264.0,8727.0,10621.0,,Balance Sheet
Accumulated Depreciation,-3415.0,-3812.0,-4231.0,-4536.0,-4810.0,,Balance Sheet
Prop./Plant/Equip. - Net,3584.0,3675.0,4033.0,4191.0,5811.0,,Balance Sheet
"Goodwill, Net",14480.0,14519.0,14533.0,14544.0,14653.0,,Balance Sheet
Intangibles - Gross,4305.0,3856.0,3554.0,3522.0,2178.0,,Balance Sheet
Accum. Intangible Amort.,-3264.0,-3191.0,-3133.0,-3268.0,-2004.0,,Balance Sheet
Intangibles - Net,1041.0,665.0,421.0,254.0,174.0,,Balance Sheet
Interest Receivable,1189.0,1351.0,1536.0,1614.0,1758.0,,Balance Sheet
Other Assets,16426.0,20272.0,16549.0,15957.0,16348.0,,Balance Sheet
"Other Assets, Total",17615.0,21623.0,18085.0,17571.0,18106.0,,Balance Sheet
Total Assets,334048.0,357033.0,365693.0,372538.0,390365.0,,Balance Sheet
Accounts Payable,299.0,327.0,413.0,458.0,439.0,,Balance Sheet
Accrued Expenses,,,,,1756.0,,Balance Sheet
Non-Interest Bearing Dep.,25847.0,25502.0,26404.0,23483.0,23488.0,,Balance Sheet
Interest Bearing Deposits,191031.0,210786.0,216927.0,226014.0,239209.0,,Balance Sheet
Other Deposits,843.0,480.0,371.0,267.0,0.0,,Balance Sheet
Total Deposits,217721.0,236768.0,243702.0,249764.0,262697.0,,Balance Sheet
"Other Bearing Lblts, Total",20131.0,17211.0,8940.0,9301.0,7000.0,,Balance Sheet
Total ST Borrowings,981.0,992.0,576.0,352.0,314.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,10047.0,7356.0,12159.0,9831.0,,Balance Sheet
