,COF
% Above Low,0.6368
% Held by Institutions,0.8946999999999999
52-Wk Range,['38.00 - 107.59']
Annual Dividend $,1.6
Annual Dividend %,0.0263
Ask,62.55
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.7
Bid,62.26
Bid Size,500.0
Change Since Close,0.06| |(0.10%)
Closing Price,62.2
Day Change $,1.78
Day Change %,0.029500000000000002
Day High,62.47
Day Low,61.1
Dividend Pay Date,2020-05-21 00:00:00
"EPS (TTM, GAAP)",5.05
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.626
Last (size),36.0
Last (time),6:30p ET 05/08/20
Last Trade,62.26
Market Cap,28.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.04
Prev Close,60.42
Shares Outstanding,455.3M
Short Interest,0.0148
Today's Open,61.92
Volume,3004700.0
Volume 10-day Avg,7263097.0
Volume Past Day,(Light)
