,COG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.51,-35.51,Valuation,-0.4931005350605464
Price/Sales (TTM),4.4,3.31,Valuation,1.3293051359516617
Price/Book (MRQ),3.67,2.33,Valuation,1.575107296137339
"PEG Ratio (TTM, GAAP)",0.68,0.32,Valuation,2.125
Gross Profit Margin (TTM),0.6375000000000001,0.3982,Profitability,1.6009542943244603
Operating Profit Margin (TTM),0.3805,-0.0002,Profitability,-1902.5
Net Profit Margin (TTM),0.2607,-0.0029,Profitability,-89.89655172413794
Annual Dividend Yield,0.02,0.0675,Dividend,0.2962962962962963
Dividend Change %,0.4,0.1449,Dividend,2.7605244996549345
"Dividend Growth Rate, 3 Years",0.6355,0.0891,Dividend,7.132435465768799
EPS Growth (MRQ),-0.6271,-2.7653,Gowth rates,0.22677467182584168
EPS Growth (TTM),-0.2853,-1.0931,Gowth rates,0.2610008233464459
Revenue Growth (MRQ),-0.1624,0.0496,Gowth rates,-3.2741935483870965
Revenue Growth (TTM),-0.23149999999999998,-0.0147,Gowth rates,15.74829931972789
Return On Equity (TTM),0.2104,0.053899999999999997,Effectiveness,3.90352504638219
Return On Assets (TTM),0.10490000000000001,0.0173,Effectiveness,6.0635838150289025
Return On Investment (TTM),0.1128,0.0278,Effectiveness,4.057553956834533
Revenue Per Employee (TTM),6609683.0,3759409.0,Effectiveness,1.7581707656708807
Total Debt/Total Capital (MRQ),0.3601,0.37229999999999996,Financial strength,0.9672307279076015
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.0016,Financial strength,-0.0625
Quick Ratio (MRQ),1.35,0.78,Financial strength,1.7307692307692308
Interest Coverage (MRQ),6.05,3.59,Financial strength,1.6852367688022285
