,COO
% Below High,0.1673
% Held by Institutions,0.9102
52-Wk Range,['236.68 - 365.68']
Annual Dividend $,0.06
Annual Dividend %,0.0002
Ask,367.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,263.98
Bid Size,100.0
Closing Price,304.52
Day Change $,0.62
Day Change %,0.002
Day High,308.93
Day Low,302.31
Dividend Pay Date,2020-02-10 00:00:00
"EPS (TTM, GAAP)",9.0
Ex-dividend,2020-01-22 00:00:00
Ex-dividend Date,01/22/20
Historical Volatility,0.36100000000000004
Last (size),67.0
Last (time),6:30p ET 05/08/20
Market Cap,16.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",33.77
Prev Close,303.9
Shares Outstanding,53.3M
Short Interest,0.013999999999999999
Today's Open,307.64
Volume,253281.0
Volume 10-day Avg,278868.0
Volume Past Day,(Average)
