,COST
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.010037641154328703
Growth 1yr High Est,0.08700834326579243
Growth 1yr Consensus Est,0.038485351055731865
Growth 2yr Low Est,0.025399430373405918
Growth 2yr High Est,0.11367961022938755
Growth 2yr Consensus Est,0.06953952030139673
Growth 5yr Low Est,0.1053458899396684
Growth 5yr High Est,0.1487976698709726
Growth 5yr Consensus Est,0.12707177990532048
Growth 5yr Actual/Est,0.1273477222416498
Growth 3yr Historic,0.09334028858224397
