,COST
% Below High,0.0594
% Held by Institutions,0.6826000000000001
52-Wk Range,['233.05 - 325.26']
Annual Dividend $,2.8
Annual Dividend %,0.0092
Ask,305.53
Ask Size,3000.0
B/A Ratio,0.03333333333333333
B/A Size,100x3000
Beta,0.7
Bid,305.15
Bid Size,100.0
Closing Price,305.94
Day Change $,0.94
Day Change %,0.0031
Day High,307.18
Day Low,303.7
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",8.45
Ex-dividend,2020-04-30 00:00:00
Ex-dividend Date,04/30/20
Historical Volatility,0.281
Last (size),5.0
Last (time),4:15p ET 05/08/20
Market Cap,135.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",36.08
Prev Close,305.0
Shares Outstanding,441.6M
Short Interest,0.0108
Today's Open,305.9
Volume,2339313.0
Volume 10-day Avg,2635637.0
Volume Past Day,(Below Average)
