,COTY
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.7377049180327868
Growth 1yr High Est,0.11940298507462677
Growth 1yr Consensus Est,-0.30915096647908
Growth 2yr Low Est,0.09989754098360659
Growth 2yr High Est,0.05970149253731338
Growth 2yr Consensus Est,0.07979951676045999
Growth 5yr Low Est,0.11691282606454274
Growth 5yr High Est,0.012403734750903025
Growth 5yr Consensus Est,0.06465828040772288
Growth 5yr Actual/Est,0.004154826866497374
Growth 3yr Historic,0.009316770186335394
