,COTY
Price/Earnings (TTM),
Price/Sales (TTM),0.44676
Price/Book (MRQ),0.83846
Price/Cash Flow (TTM),
5yr Low,3.02
5yr High,32.72
5yr Avg Return,-0.10025
EPS Growth 5yr,
Revenue Growth 5yr,0.13698660000000001
Dividend Growth 5yr,0.20112439999999998
Short Int Current Month,20237746.0
Short Int Prev Month,19739663.0
Short Int Pct of Float,0.0723391
Days to Cover,3.13714
Float,280.0551
Shares Outstanding,760.6535
Institutions Holding Shares,523.0
% Held by Institutions,0.38982799999999995
FCF Growth 5yr,-1.7491269160855052
