,COTY
% Above Low,0.7219
% Held by Institutions,0.3898
52-Wk Range,['3.02 - 14.14']
Annual Dividend $,0.5
Annual Dividend %,0.1014
Ask,5.3
Ask Size,7100.0
B/A Ratio,0.028169014084507043
B/A Size,200x7100
Beta,1.1
Bid,5.15
Bid Size,200.0
Change Since Close,0.03| |(0.58%)
Closing Price,5.2
Day Change $,0.27
Day Change %,0.0548
Day High,5.3
Day Low,5.02
Dividend Pay Date,2020-03-27 00:00:00
"EPS (TTM, GAAP)",-3.7
Ex-dividend,2020-02-14 00:00:00
Ex-dividend Date,02/14/20
Historical Volatility,0.835
Last (size),300.0
Last (time),6:30p ET 05/08/20
Last Trade,5.23
Market Cap,4.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.93
Shares Outstanding,760.7M
Short Interest,0.0723
Today's Open,5.1
Volume,10291663.0
Volume 10-day Avg,12690145.0
Volume Past Day,(Below Average)
