,2015,2016,2017,2018,2019,2020,Report
high,55.08,67.89,64.23,48.42,49.54,57.54,
low,45.23,50.54,45.0,32.21,32.04,40.7,
change,0.1471,0.1645,-0.2061,-0.3156,0.5085000000000001,0.0366,
Date,2015-08-02 00:00:00,2016-07-31 00:00:00,2017-07-30 00:00:00,2018-07-29 00:00:00,2019-07-28 00:00:00,,Balance Sheet
Cash and Short Term Invs,253.0,296.0,319.0,49.0,31.0,,Balance Sheet
"Trade Accts Recvble, Gross",570.0,566.0,561.0,528.0,538.0,,Balance Sheet
Prov. for Doubtful Accts,-13.0,-12.0,-11.0,-18.0,-13.0,,Balance Sheet
"Trade Accts Recvble, Net",557.0,554.0,550.0,510.0,525.0,,Balance Sheet
Other Receivables,90.0,72.0,55.0,53.0,49.0,,Balance Sheet
"Total Receivables, Net",647.0,626.0,605.0,563.0,574.0,,Balance Sheet
Invent. - Finished Goods,568.0,549.0,525.0,575.0,592.0,,Balance Sheet
Invent. - Raw Materials,427.0,391.0,377.0,312.0,271.0,,Balance Sheet
Total Inventory,995.0,940.0,902.0,887.0,863.0,,Balance Sheet
Deferred Income Tax,505.0,396.0,490.0,960.0,924.0,,Balance Sheet
Discont. Ops.-Curr. Assets,,,,726.0,428.0,,Balance Sheet
Other Current Assets,84.0,46.0,74.0,71.0,71.0,,Balance Sheet
"Other Curr. Assets, Total",198.0,46.0,74.0,797.0,499.0,,Balance Sheet
Total Current Assets,2093.0,1908.0,1900.0,2296.0,1967.0,,Balance Sheet
Buildings,1416.0,1488.0,1553.0,1439.0,1474.0,,Balance Sheet
Land/Improvements,57.0,58.0,64.0,82.0,83.0,,Balance Sheet
Machinery/Equipment,3802.0,4042.0,4231.0,3554.0,3473.0,,Balance Sheet
Construction in Progress,238.0,176.0,195.0,164.0,185.0,,Balance Sheet
Prop./Plant/Equip. - Gross,5513.0,5764.0,6043.0,5239.0,5215.0,,Balance Sheet
Accumulated Depreciation,-3166.0,-3357.0,-3589.0,-2773.0,-2760.0,,Balance Sheet
Prop./Plant/Equip. - Net,2347.0,2407.0,2454.0,2466.0,2455.0,,Balance Sheet
"Goodwill, Net",2344.0,2263.0,2115.0,3864.0,4017.0,,Balance Sheet
Intangibles - Gross,1257.0,1224.0,1210.0,3695.0,3498.0,,Balance Sheet
Accum. Intangible Amort.,-52.0,-72.0,-92.0,-31.0,-83.0,,Balance Sheet
Intangibles - Net,1205.0,1152.0,1118.0,3664.0,3415.0,,Balance Sheet
Long Term Investments,10.0,47.0,69.0,92.0,77.0,,Balance Sheet
Pension Bene. - Overfunded,,,,61.0,21.0,,Balance Sheet
Def. Inc. Tax - LT Asset,25.0,41.0,36.0,2.0,2.0,,Balance Sheet
Disct. Ops. - LT Asset,,,,2050.0,1167.0,,Balance Sheet
Other Long Term Assets,53.0,19.0,34.0,34.0,27.0,,Balance Sheet
Total Assets,8077.0,7837.0,7726.0,14529.0,13148.0,,Balance Sheet
Accounts Payable,544.0,610.0,666.0,705.0,814.0,,Balance Sheet
Accrued Expenses,577.0,588.0,518.0,513.0,601.0,,Balance Sheet
Notes Payable/ST Debt,1542.0,817.0,884.0,1135.0,870.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,1.0,402.0,153.0,390.0,501.0,,Balance Sheet
