,CPRI
% Above Low,1.7694
% Held by Institutions,0.9289000000000001
52-Wk Range,['5.42 - 43.63']
Annual Dividend $,
Annual Dividend %,
Ask,15.17
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.9
Bid,14.6
Bid Size,500.0
Change Since Close,-0.02| |(-0.13%)
Closing Price,15.01
Day Change $,0.98
Day Change %,0.0699
Day High,15.21
Day Low,14.23
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.28
Ex-dividend Date,No dividend
Historical Volatility,0.907
Last (size),50.0
Last (time),6:30p ET 05/08/20
Last Trade,14.99
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",6.15
Prev Close,14.03
Shares Outstanding,149.4M
Short Interest,0.12140000000000001
Today's Open,14.46
Volume,3516255.0
Volume 10-day Avg,4305685.0
Volume Past Day,(Below Average)
