,CPRT
Next Earnings Announcement,2020-05-20 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.041284403669724856
Growth 1yr High Est,0.23555555555555552
Growth 1yr Consensus Est,0.09713557594291533
Growth 2yr Low Est,0.04155875510293672
Growth 2yr High Est,0.17713029576338923
Growth 2yr Consensus Est,0.10934452543316298
Growth 5yr Low Est,0.19081450635708896
Growth 5yr High Est,0.24811782346697892
Growth 5yr Consensus Est,0.21946616491203394
Growth 5yr Actual/Est,0.2092633930748169
Growth 3yr Historic,0.1604158264999776
