,CPRT
Price/Earnings (TTM),26.51282
Price/Sales (TTM),8.56472
Price/Book (MRQ),8.9673
Price/Cash Flow (TTM),23.12756
5yr Low,16.13
5yr High,104.88
5yr Avg Return,0.3439333333333333
EPS Growth 5yr,0.29350529999999997
Revenue Growth 5yr,0.11906900000000001
Dividend Growth 5yr,
Short Int Current Month,5333030.0
Short Int Prev Month,5035976.0
Short Int Pct of Float,0.0263165
Days to Cover,2.52648
Float,202.6557
Shares Outstanding,233.7055
Institutions Holding Shares,918.0
% Held by Institutions,0.7903060000000001
FCF Growth 5yr,0.15038339583646748
