,CPRT
% Below High,0.2011
% Held by Institutions,0.7903
52-Wk Range,['55.69 - 104.88']
Annual Dividend $,
Annual Dividend %,
Ask,84.41
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,78.4
Bid Size,100.0
Closing Price,83.79
Day Change $,2.24
Day Change %,0.0275
Day High,84.05
Day Low,82.18
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.08
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),62.0
Last (time),4:15p ET 05/08/20
Market Cap,19.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",26.51
Prev Close,81.55
Shares Outstanding,233.7M
Short Interest,0.0263
Today's Open,82.88
Volume,1673624.0
Volume 10-day Avg,2082000.0
Volume Past Day,(Below Average)
