,CTAS
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.05675675675675673
Growth 1yr High Est,0.16799999999999993
Growth 1yr Consensus Est,0.0556216216216216
Growth 2yr Low Est,-0.09857895144428097
Growth 2yr High Est,0.0857123287671232
Growth 2yr Consensus Est,-0.006433311338578884
Growth 5yr Low Est,0.026969242502891566
Growth 5yr High Est,0.14970259737228994
Growth 5yr Consensus Est,0.08833591993759075
Growth 5yr Actual/Est,0.16971682709344602
Growth 3yr Historic,0.17592030928377028
