,2015,2016,2017,2018,2019,2020,Report
high,94.35,122.21,163.45,217.34,277.85,304.81,
low,78.0,80.0,112.96,147.38,164.5,154.33,
change,0.1082,0.2866,0.33909999999999996,0.06820000000000001,0.6258,-0.19140000000000001,
Date,2015-05-31 00:00:00,2016-05-31 00:00:00,2017-05-31 00:00:00,2018-05-31 00:00:00,2019-05-31 00:00:00,,Balance Sheet
Cash & Equivalents,417.0,139.0,169.0,139.0,97.0,,Balance Sheet
Short Term Investments,16.0,70.0,22.0,0.0,,,Balance Sheet
Cash and Short Term Invs,433.0,210.0,191.0,139.0,97.0,,Balance Sheet
"Trade Accts Recvble, Gross",512.0,566.0,757.0,838.0,948.0,,Balance Sheet
Prov. for Doubtful Accts,-16.0,-19.0,-21.0,-34.0,-38.0,,Balance Sheet
"Trade Accts Recvble, Net",496.0,546.0,736.0,805.0,910.0,,Balance Sheet
Other Receivables,1.0,2.0,44.0,20.0,7.0,,Balance Sheet
"Total Receivables, Net",497.0,548.0,780.0,824.0,918.0,,Balance Sheet
Invent. - Finished Goods,192.0,217.0,243.0,236.0,288.0,,Balance Sheet
Invent. - Work In Progress,17.0,15.0,18.0,27.0,29.0,,Balance Sheet
Invent. - Raw Materials,17.0,18.0,18.0,17.0,18.0,,Balance Sheet
Total Inventory,226.0,249.0,278.0,280.0,335.0,,Balance Sheet
Prepaid Expenses,24.0,26.0,30.0,32.0,103.0,,Balance Sheet
Discont. Ops.-Curr. Assets,21.0,19.0,39.0,0.0,,,Balance Sheet
Other Current Assets,534.0,538.0,636.0,702.0,784.0,,Balance Sheet
"Other Curr. Assets, Total",555.0,557.0,674.0,702.0,784.0,,Balance Sheet
Total Current Assets,1736.0,1591.0,1954.0,1978.0,2236.0,,Balance Sheet
Buildings,528.0,538.0,657.0,679.0,728.0,,Balance Sheet
Land/Improvements,116.0,118.0,173.0,177.0,190.0,,Balance Sheet
Machinery/Equipment,1446.0,1583.0,1930.0,2070.0,2207.0,,Balance Sheet
Construction in Progress,104.0,173.0,79.0,120.0,67.0,,Balance Sheet
Prop./Plant/Equip. - Gross,2194.0,2412.0,2840.0,3046.0,3192.0,,Balance Sheet
Accumulated Depreciation,-1323.0,-1418.0,-1516.0,-1664.0,-1762.0,,Balance Sheet
Prop./Plant/Equip. - Net,871.0,994.0,1324.0,1383.0,1431.0,,Balance Sheet
"Goodwill, Net",1196.0,1276.0,2782.0,2847.0,2842.0,,Balance Sheet
Intangibles - Gross,406.0,438.0,987.0,1005.0,1298.0,,Balance Sheet
Accum. Intangible Amort.,-346.0,-346.0,-368.0,-430.0,-563.0,,Balance Sheet
Intangibles - Net,60.0,92.0,619.0,575.0,735.0,,Balance Sheet
LT Invt. - Affiliate Comp.,,,,16.0,19.0,,Balance Sheet
LT Investments - Other,330.0,125.0,165.0,159.0,174.0,,Balance Sheet
Long Term Investments,330.0,125.0,165.0,176.0,192.0,,Balance Sheet
Disct. Ops. - LT Asset,,21.0,0.0,,,,Balance Sheet
Total Assets,4192.0,4099.0,6844.0,6958.0,7437.0,,Balance Sheet
Accounts Payable,110.0,111.0,177.0,215.0,226.0,,Balance Sheet
Accrued Expenses,392.0,439.0,571.0,553.0,582.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,0.0,250.0,363.0,0.0,312.0,,Balance Sheet
Income Taxes Payable,6.0,6.0,8.0,8.0,8.0,,Balance Sheet
Discontinued Operations,1.0,10.0,11.0,0.0,,,Balance Sheet
"Other Curr. Lblts, Total",7.0,16.0,20.0,8.0,8.0,,Balance Sheet
