,2015,2016,2017,2018,2019,2020,Report
high,69.8,63.43,76.51,85.1,74.85,71.48,
low,57.5,45.44,51.52,59.47,56.73,40.01,
change,-0.050199999999999995,-0.04730000000000001,0.25370000000000004,-0.1079,-0.0077,-0.0824,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,2125.0,2034.0,1925.0,1161.0,2645.0,,Balance Sheet
Short Term Investments,2824.0,3135.0,3131.0,3350.0,779.0,,Balance Sheet
Cash and Short Term Invs,4949.0,5169.0,5056.0,4511.0,3424.0,,Balance Sheet
"Trade Accts Recvble, Gross",2292.0,2604.0,2930.0,3268.0,3323.0,,Balance Sheet
Prov. for Doubtful Accts,-39.0,-48.0,-65.0,-78.0,-67.0,,Balance Sheet
"Total Receivables, Net",2622.0,2905.0,3222.0,3495.0,3590.0,,Balance Sheet
"Other Curr. Assets, Total",338.0,526.0,833.0,604.0,597.0,,Balance Sheet
Total Current Assets,7909.0,8600.0,9111.0,8610.0,7611.0,,Balance Sheet
Buildings,1068.0,1089.0,1144.0,1177.0,1169.0,,Balance Sheet
Land/Improvements,23.0,23.0,19.0,19.0,11.0,,Balance Sheet
Machinery/Equipment,697.0,849.0,958.0,1133.0,1336.0,,Balance Sheet
Construction in Progress,115.0,169.0,145.0,156.0,133.0,,Balance Sheet
Other Prop./Plant/Equip.,447.0,494.0,574.0,699.0,1628.0,,Balance Sheet
Prop./Plant/Equip. - Gross,2350.0,2624.0,2840.0,3184.0,4277.0,,Balance Sheet
Accumulated Depreciation,-1079.0,-1313.0,-1516.0,-1790.0,-2042.0,,Balance Sheet
Prop./Plant/Equip. - Net,1271.0,1311.0,1324.0,1394.0,2235.0,,Balance Sheet
"Goodwill, Net",2405.0,2554.0,2704.0,3481.0,3979.0,,Balance Sheet
Intangibles - Gross,1090.0,1288.0,1452.0,1768.0,1712.0,,Balance Sheet
Accum. Intangible Amort.,-226.0,-337.0,-471.0,-618.0,-671.0,,Balance Sheet
Intangibles - Net,864.0,951.0,981.0,1150.0,1041.0,,Balance Sheet
LT Invt. - Affiliate Comp.,0.0,62.0,74.0,74.0,17.0,,Balance Sheet
LT Investments - Other,,,161.0,6.0,0.0,,Balance Sheet
Long Term Investments,0.0,62.0,235.0,80.0,17.0,,Balance Sheet
Other Long Term Assets,264.0,359.0,448.0,689.0,736.0,,Balance Sheet
Total Assets,13061.0,14262.0,15221.0,15846.0,16204.0,,Balance Sheet
Accounts Payable,165.0,175.0,210.0,215.0,239.0,,Balance Sheet
Accrued Expenses,1608.0,1527.0,1693.0,1644.0,1853.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,406.0,81.0,175.0,9.0,49.0,,Balance Sheet
Customer Advances,324.0,306.0,383.0,286.0,313.0,,Balance Sheet
Income Taxes Payable,17.0,10.0,48.0,162.0,152.0,,Balance Sheet
Other Current Liabilities,194.0,319.0,330.0,394.0,377.0,,Balance Sheet
"Other Curr. Lblts, Total",535.0,635.0,761.0,842.0,842.0,,Balance Sheet
Total Current Liabilities,2714.0,2418.0,2839.0,2710.0,2983.0,,Balance Sheet
Long Term Debt,877.0,797.0,698.0,736.0,700.0,,Balance Sheet
Capital Lease Obligations,,,,,15.0,,Balance Sheet
Total Long Term Debt,877.0,797.0,698.0,736.0,715.0,,Balance Sheet
Total Debt,1283.0,878.0,873.0,745.0,764.0,,Balance Sheet
Deferred Income Tax,3.0,6.0,146.0,183.0,35.0,,Balance Sheet
"Other Liabilities, Total",189.0,313.0,869.0,793.0,1449.0,,Balance Sheet
Total Liabilities,3783.0,3534.0,4552.0,4422.0,5182.0,,Balance Sheet
