,2015,2016,2017,2018,2019,2020,Report
high,113.65,106.67,84.72,83.88,77.03,76.44,
low,81.37,69.3,66.45,60.14,51.72,52.04,
change,-0.0273,-0.1795,-0.08900000000000001,-0.1032,0.1454,-0.1545,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,2459.0,3371.0,1696.0,4059.0,5683.0,,Balance Sheet
Short Term Investments,88.0,87.0,111.0,2522.0,2373.0,,Balance Sheet
Cash and Short Term Invs,2547.0,3458.0,1807.0,6581.0,8056.0,,Balance Sheet
"Trade Accts Recvble, Gross",,12450.0,13488.0,18124.0,10838.0,,Balance Sheet
Prov. for Doubtful Accts,,-286.0,-307.0,-493.0,-319.0,,Balance Sheet
"Trade Accts Recvble, Net",11888.0,12164.0,13181.0,17631.0,17236.0,,Balance Sheet
Other Receivables,,,,,2381.0,,Balance Sheet
"Total Receivables, Net",11888.0,12164.0,13181.0,17631.0,19617.0,,Balance Sheet
Total Inventory,14001.0,14760.0,15296.0,16450.0,17516.0,,Balance Sheet
"Other Curr. Assets, Total",722.0,660.0,945.0,4581.0,5113.0,,Balance Sheet
Total Current Assets,29158.0,31042.0,31229.0,45243.0,50302.0,,Balance Sheet
Buildings,,7720.0,8136.0,9169.0,9679.0,,Balance Sheet
Land/Improvements,,1734.0,1707.0,1872.0,1981.0,,Balance Sheet
Machinery/Equipment,,13348.0,14447.0,15828.0,17274.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,20860.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,22802.0,24290.0,26869.0,49794.0,,Balance Sheet
Accumulated Depreciation,,-12627.0,-13998.0,-15520.0,-16890.0,,Balance Sheet
Prop./Plant/Equip. - Net,9855.0,10175.0,10292.0,11349.0,32904.0,,Balance Sheet
"Goodwill, Net",38106.0,38249.0,38451.0,78678.0,79749.0,,Balance Sheet
Intangibles - Gross,,19006.0,19929.0,43738.0,42159.0,,Balance Sheet
Accum. Intangible Amort.,,-5495.0,-6299.0,-7214.0,-9038.0,,Balance Sheet
Intangibles - Net,13878.0,13511.0,13630.0,36524.0,33121.0,,Balance Sheet
Long Term Investments,,,,15732.0,17314.0,,Balance Sheet
Other Long Term Assets,1440.0,1485.0,1529.0,8930.0,9059.0,,Balance Sheet
Total Assets,92437.0,94462.0,95131.0,196456.0,222449.0,,Balance Sheet
Accounts Payable,15143.0,17397.0,19218.0,26437.0,30972.0,,Balance Sheet
Accrued Expenses,6829.0,6937.0,6609.0,10711.0,13656.0,,Balance Sheet
Notes Payable/ST Debt,0.0,1874.0,1276.0,720.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,1197.0,42.0,3545.0,1265.0,3781.0,,Balance Sheet
Customer Advances,,,,,73.0,,Balance Sheet
Other Current Liabilities,,,,4876.0,4821.0,,Balance Sheet
"Other Curr. Lblts, Total",,,,4876.0,4894.0,,Balance Sheet
Total Current Liabilities,23169.0,26250.0,30648.0,44009.0,53303.0,,Balance Sheet
Long Term Debt,26267.0,25615.0,22181.0,71444.0,63918.0,,Balance Sheet
Capital Lease Obligations,,,,,781.0,,Balance Sheet
Total Long Term Debt,26267.0,25615.0,22181.0,71444.0,64699.0,,Balance Sheet
Total Debt,27464.0,27531.0,27002.0,73429.0,68480.0,,Balance Sheet
Deferred Income Tax,4217.0,4214.0,2996.0,7677.0,7294.0,,Balance Sheet
Minority Interest,7.0,4.0,4.0,318.0,306.0,,Balance Sheet
