,CVX
Next Earnings Announcement,2020-07-31 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-1.3561872909698995
Growth 1yr High Est,-0.6993957703927492
Growth 1yr Consensus Est,-1.0277915306813243
Growth 2yr Low Est,-0.6147133637948089
Growth 2yr High Est,0.3111061349041279
Growth 2yr Consensus Est,-0.1518036144453405
Growth 5yr Low Est,-0.4708289456264118
Growth 5yr High Est,0.1294719911706532
Growth 5yr Consensus Est,-0.1706784772278793
Growth 5yr Actual/Est,-1.5652455784848238
Growth 3yr Historic,0.22549235281793417
