,CXO
% Above Low,0.77
% Held by Institutions,0.9547
52-Wk Range,['33.13 - 116.92']
Annual Dividend $,0.8
Annual Dividend %,0.013999999999999999
Ask,63.25
Ask Size,200.0
B/A Ratio,25.5
B/A Size,5100x200
Beta,1.9
Bid,55.0
Bid Size,5100.0
Closing Price,58.64
Day Change $,1.45
Day Change %,0.0254
Day High,59.09
Day Low,56.98
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",-47.57
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.66
Last (size),1100.0
Last (time),6:30p ET 05/08/20
Market Cap,11.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,57.19
Short Interest,0.045700000000000005
Today's Open,58.35
Volume,2067722.0
Volume 10-day Avg,2348371.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,2.1333333333333333
Growth 2yr High Est,0.048034934497816595
Growth 2yr Consensus Est,1.090684133915575
Growth 5yr Low Est,2.1333333333333333
Growth 5yr High Est,0.048034934497816595
Growth 5yr Consensus Est,1.090684133915575
Growth 5yr Actual/Est,-0.07247116386577604
Growth 3yr Historic,0.21516506655825546
Price/Earnings (TTM),
Price/Sales (TTM),2.55088
Price/Book (MRQ),1.34259
Price/Cash Flow (TTM),
5yr Low,33.13
5yr High,163.11
5yr Avg Return,-0.07715
EPS Growth 5yr,
Revenue Growth 5yr,0.11537069999999999
Dividend Growth 5yr,
Short Int Current Month,8881330.0
Short Int Prev Month,7904922.0
Short Int Pct of Float,0.045665500000000005
Days to Cover,3.79799
Float,194.5899
Shares Outstanding,196.7016
Institutions Holding Shares,640.0
FCF Growth 5yr,0.10683612446043547
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8399
Operating Profit Margin (TTM),-2.4372000000000003
Net Profit Margin (TTM),-2.1059
Annual Dividend Yield,0.013999999999999999
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-18.9359
EPS Growth (TTM),-13.3277
Revenue Growth (MRQ),-0.26
Revenue Growth (TTM),0.023700000000000002
Return On Equity (TTM),-0.7026000000000001
Return On Assets (TTM),-0.4669
Return On Investment (TTM),-0.501
Revenue Per Employee (TTM),3035100.0
Total Debt/Total Capital (MRQ),0.3207
Change in Debt/Total Capital Quarter over Quarter,0.0062
Quick Ratio (MRQ),2.14
Interest Coverage (MRQ),
newConstructs,4
researchTeam,reduce
cfra,3
theStreet,sell
ford,3
creditSuisse,outperform
marketEdge opinion,neutralfromavoid
marketEdge,3
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
cfra since,2019-04-11 00:00:00
theStreet since,2020-03-26 00:00:00
ford since,2020-01-17 00:00:00
creditSuisse since,2020-03-11 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
