,CXO
% Above Low,0.77
% Held by Institutions,0.9547
52-Wk Range,['33.13 - 116.92']
Annual Dividend $,0.8
Annual Dividend %,0.013999999999999999
Ask,63.25
Ask Size,200.0
B/A Ratio,25.5
B/A Size,5100x200
Beta,1.9
Bid,55.0
Bid Size,5100.0
Closing Price,58.64
Day Change $,1.45
Day Change %,0.0254
Day High,59.09
Day Low,56.98
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",-47.57
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.66
Last (size),1100.0
Last (time),6:30p ET 05/08/20
Market Cap,11.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,57.19
Shares Outstanding,196.7M
Short Interest,0.045700000000000005
Today's Open,58.35
Volume,2067722.0
Volume 10-day Avg,2348371.0
Volume Past Day,(Below Average)
