,D
Price/Earnings (TTM),36.40041
Price/Sales (TTM),3.80982
Price/Book (MRQ),2.30946
Price/Cash Flow (TTM),13.53571
5yr Low,57.79
5yr High,90.89
5yr Avg Return,0.021783333333333328
EPS Growth 5yr,-0.0585231
Revenue Growth 5yr,0.05910459999999999
Dividend Growth 5yr,0.08865669999999999
Short Int Current Month,11846852.0
Short Int Prev Month,12118145.0
Short Int Pct of Float,0.014173199999999999
Days to Cover,3.27928
Float,836.8834
Shares Outstanding,839.5257
Institutions Holding Shares,1704.0
% Held by Institutions,0.7044450000000001
FCF Growth 5yr,-0.36201716330560396
