,DHR
Price/Earnings (TTM),45.07617
Price/Sales (TTM),6.56309
Price/Book (MRQ),3.8684
Price/Cash Flow (TTM),30.23843
5yr Low,75.71
5yr High,170.64
5yr Avg Return,0.1351333333333333
EPS Growth 5yr,0.0760768
Revenue Growth 5yr,0.0683896
Dividend Growth 5yr,0.1556818
Short Int Current Month,6598731.0
Short Int Prev Month,6263403.0
Short Int Pct of Float,0.0106966
Days to Cover,1.99783
Float,616.9014
Shares Outstanding,697.5112
Institutions Holding Shares,1962.0
% Held by Institutions,0.7970510000000001
FCF Growth 5yr,0.005821974842253885
