,DHR
% Below High,0.054000000000000006
% Held by Institutions,0.7970999999999999
52-Wk Range,['119.60 - 170.64']
Annual Dividend $,0.72
Annual Dividend %,0.0044
Ask,163.75
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.9
Bid,161.43
Bid Size,300.0
Closing Price,161.43
Day Change $,-2.05
Day Change %,-0.0125
Day High,164.75
Day Low,161.1
Dividend Pay Date,2020-07-31 00:00:00
"EPS (TTM, GAAP)",3.63
Ex-dividend,2020-06-25 00:00:00
Ex-dividend Date,06/25/20
Historical Volatility,0.32
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,112.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",45.08
Prev Close,163.48
Shares Outstanding,697.5M
Short Interest,0.010700000000000001
Today's Open,164.06
Volume,9292538.0
Volume 10-day Avg,3681373.0
Volume Past Day,(Heavy Day)
