,DIS
% Above Low,0.3805
% Held by Institutions,0.6339
52-Wk Range,['79.07 - 153.41']
Annual Dividend $,
Annual Dividend %,
Ask,109.85
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,1.1
Bid,109.51
Bid Size,500.0
Closing Price,109.16
Day Change $,3.59
Day Change %,0.034
Day High,109.18
Day Low,106.63
Dividend Pay Date,01/16/20
"EPS (TTM, GAAP)",2.66
Ex-dividend Date,12/13/19
Historical Volatility,0.414
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,197.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",39.69
Prev Close,105.57
Shares Outstanding,1.8B
Short Interest,0.013999999999999999
Today's Open,109.05
Volume,24101684.0
Volume 10-day Avg,22193928.0
Volume Past Day,(Average)
