,DISH
Price/Earnings (TTM),11.21626
Price/Sales (TTM),0.95134
Price/Book (MRQ),1.04807
Price/Cash Flow (TTM),6.51442
5yr Low,17.09
5yr High,75.99
5yr Avg Return,-0.10039999999999999
EPS Growth 5yr,0.0505958
Revenue Growth 5yr,-0.0264331
Dividend Growth 5yr,
Short Int Current Month,10526107.0
Short Int Prev Month,9714394.0
Short Int Pct of Float,0.0431962
Days to Cover,3.60951
Float,242.6035
Shares Outstanding,523.0515
Institutions Holding Shares,584.0
% Held by Institutions,0.8217329999999999
FCF Growth 5yr,-1.444024095409257
