,2015,2016,2017,2018,2019,2020,Report
high,75.99,60.01,66.24,50.29,44.48,42.62,
low,54.4,38.69,45.89,23.13,24.15,17.09,
change,-0.1466,0.032400000000000005,-0.1838,-0.4842,0.4625,-0.2827,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,1053.0,5325.0,1480.0,887.0,2444.0,,Balance Sheet
Short Term Investments,558.0,36.0,501.0,1181.0,417.0,,Balance Sheet
Cash and Short Term Invs,1611.0,5360.0,1981.0,2069.0,2860.0,,Balance Sheet
"Trade Accts Recvble, Gross",886.0,796.0,669.0,657.0,608.0,,Balance Sheet
Prov. for Doubtful Accts,-22.0,-18.0,-16.0,-17.0,-19.0,,Balance Sheet
"Total Receivables, Net",864.0,778.0,654.0,640.0,588.0,,Balance Sheet
Invent. - Finished Goods,195.0,283.0,248.0,215.0,255.0,,Balance Sheet
Invent. - Work In Progress,75.0,130.0,54.0,57.0,34.0,,Balance Sheet
Invent. - Raw Materials,121.0,10.0,18.0,19.0,34.0,,Balance Sheet
Total Inventory,390.0,422.0,321.0,291.0,323.0,,Balance Sheet
"Other Curr. Assets, Total",678.0,1720.0,329.0,290.0,243.0,,Balance Sheet
Total Current Assets,3543.0,8280.0,3285.0,3289.0,4015.0,,Balance Sheet
Buildings,87.0,289.0,294.0,291.0,349.0,,Balance Sheet
Land/Improvements,6.0,14.0,14.0,13.0,18.0,,Balance Sheet
Machinery/Equipment,4284.0,3866.0,3167.0,2861.0,3717.0,,Balance Sheet
Construction in Progress,382.0,88.0,103.0,101.0,278.0,,Balance Sheet
Other Prop./Plant/Equip.,1276.0,2139.0,2279.0,2423.0,3043.0,,Balance Sheet
Prop./Plant/Equip. - Gross,6035.0,6396.0,5857.0,5689.0,7405.0,,Balance Sheet
Accumulated Depreciation,-3110.0,-3742.0,-3673.0,-3760.0,-4555.0,,Balance Sheet
Prop./Plant/Equip. - Net,2924.0,2654.0,2184.0,1928.0,2851.0,,Balance Sheet
Intangibles - Gross,15668.0,16499.0,23726.0,24877.0,25908.0,,Balance Sheet
Accum. Intangible Amort.,,,,-122.0,-118.0,,Balance Sheet
Intangibles - Net,15668.0,16499.0,23726.0,24754.0,25790.0,,Balance Sheet
Long Term Investments,327.0,33.0,113.0,119.0,160.0,,Balance Sheet
Other Long Term Assets,342.0,365.0,393.0,429.0,355.0,,Balance Sheet
Total Assets,22887.0,27914.0,29774.0,30587.0,33231.0,,Balance Sheet
Accounts Payable,470.0,525.0,393.0,234.0,281.0,,Balance Sheet
