,DISH
% Above Low,0.5056
% Held by Institutions,0.8217
52-Wk Range,['17.09 - 44.48']
Annual Dividend $,
Annual Dividend %,
Ask,25.88
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.7
Bid,25.72
Bid Size,100.0
Closing Price,25.73
Day Change $,2.38
Day Change %,0.10189999999999999
Day High,25.86
Day Low,23.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.08
Ex-dividend Date,No dividend
Historical Volatility,0.5770000000000001
Last (size),196.0
Last (time),4:00p ET 05/08/20
Market Cap,13.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",11.22
Prev Close,23.35
Shares Outstanding,523.1M
Short Interest,0.0432
Today's Open,24.2
Volume,3641910.0
Volume 10-day Avg,3010021.0
Volume Past Day,(Heavy Day)
