,DLTR
% Above Low,0.2965
% Held by Institutions,0.9528
52-Wk Range,['60.20 - 119.71']
Annual Dividend $,
Annual Dividend %,
Ask,79.25
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,77.03
Bid Size,100.0
Closing Price,78.05
Day Change $,1.36
Day Change %,0.0177
Day High,79.17
Day Low,77.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.47
Ex-dividend Date,No dividend
Historical Volatility,0.46799999999999997
Last (size),4.0
Last (time),3:59p ET 05/08/20
Market Cap,18.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.1
Prev Close,76.69
Short Interest,0.0187
Today's Open,77.97
Volume,1884981.0
Volume 10-day Avg,2072123.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.09871244635193133
Growth 1yr High Est,0.08613445378151274
Growth 1yr Consensus Est,-0.006288996285209292
Growth 2yr Low Est,0.010167586347843871
Growth 2yr High Est,0.16202273946329027
Growth 2yr Consensus Est,0.08609516290556707
Growth 5yr Low Est,0.004564407970672479
Growth 5yr High Est,0.01669412758168423
Growth 5yr Consensus Est,0.010629267776178355
Growth 5yr Actual/Est,0.033962681692071034
Growth 3yr Historic,-0.0013015819081058921
Price/Earnings (TTM),22.09915
Price/Sales (TTM),0.77055
Price/Book (MRQ),2.9025
Price/Cash Flow (TTM),12.35618
5yr Low,60.2
5yr High,119.71
5yr Avg Return,0.012116666666666678
EPS Growth 5yr,0.0369457
Revenue Growth 5yr,0.2237712
Dividend Growth 5yr,
Short Int Current Month,4354414.0
Short Int Prev Month,4447406.0
Short Int Pct of Float,0.018665400000000002
Days to Cover,1.55423
Float,233.7094
Shares Outstanding,237.2309
Institutions Holding Shares,951.0
FCF Growth 5yr,0.5474136174904873
"Price/Earnings (TTM, GAAP)",22.1
"PEG Ratio (TTM, GAAP)",3.14
Gross Profit Margin (TTM),0.2982
Operating Profit Margin (TTM),0.0535
Net Profit Margin (TTM),0.035
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.5208
EPS Growth (TTM),1.5191999999999999
Revenue Growth (MRQ),0.099
Revenue Growth (TTM),0.0345
Return On Equity (TTM),0.139
Return On Assets (TTM),0.05
Return On Investment (TTM),0.060300000000000006
Revenue Per Employee (TTM),414953.0
Total Debt/Total Capital (MRQ),0.3762
Change in Debt/Total Capital Quarter over Quarter,-0.0039000000000000003
Quick Ratio (MRQ),0.21
Interest Coverage (MRQ),15.26
newConstructs,2
researchTeam,hold
theStreet,hold
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
theStreet since,2019-08-01 00:00:00
cfra since,2018-03-08 00:00:00
ford since,2018-03-09 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-04-17 00:00:00
