,DOV
% Below High,0.23309999999999997
% Held by Institutions,0.8290000000000001
52-Wk Range,['62.95 - 120.26']
Annual Dividend $,1.96
Annual Dividend %,0.0215
Ask,107.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,81.0
Bid Size,100.0
Closing Price,92.23
Day Change $,1.16
Day Change %,0.0127
Day High,93.5
Day Low,91.32
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",5.1
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.446
Last (size),40.0
Last (time),6:30p ET 05/08/20
Market Cap,13.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.85
Prev Close,91.07
Short Interest,0.0098
Today's Open,92.88
Volume,588255.0
Volume 10-day Avg,893139.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.3236301369863013
Growth 1yr High Est,-0.1071428571428571
Growth 1yr Consensus Est,-0.21538649706457919
Growth 2yr Low Est,-0.10485304317669497
Growth 2yr High Est,0.07023809523809527
Growth 2yr Consensus Est,-0.017307473969299852
Growth 5yr Low Est,0.03151267769531946
Growth 5yr High Est,0.11694746330811037
Growth 5yr Consensus Est,0.07423007050171491
Growth 5yr Actual/Est,0.09081592530460728
Growth 3yr Historic,0.09768732879202924
Price/Earnings (TTM),17.85273
Price/Sales (TTM),1.85484
Price/Book (MRQ),4.39807
Price/Cash Flow (TTM),12.82966
5yr Low,50.91
5yr High,120.26
5yr Avg Return,0.08831666666666668
EPS Growth 5yr,0.00014099999999999998
Revenue Growth 5yr,-0.0164309
Dividend Growth 5yr,0.0459093
Short Int Current Month,1388157.0
Short Int Prev Month,1733075.0
Short Int Pct of Float,0.0097998
Days to Cover,1.235
Float,142.5806
Shares Outstanding,143.947
Institutions Holding Shares,981.0
FCF Growth 5yr,0.026557029381281662
"Price/Earnings (TTM, GAAP)",17.85
"PEG Ratio (TTM, GAAP)",2.48
Gross Profit Margin (TTM),0.37060000000000004
Operating Profit Margin (TTM),0.1436
Net Profit Margin (TTM),0.1059
Annual Dividend Yield,0.0215
Dividend Change %,0.0211
"Dividend Growth Rate, 3 Years",0.0409
EPS Growth (MRQ),0.0559
EPS Growth (TTM),0.30820000000000003
Revenue Growth (MRQ),-0.0674
Revenue Growth (TTM),-0.0016
Return On Equity (TTM),0.25730000000000003
Return On Assets (TTM),0.085
Return On Investment (TTM),0.1104
Revenue Per Employee (TTM),294483.0
Total Debt/Total Capital (MRQ),0.5374
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.89
Interest Coverage (MRQ),8.92
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-20 00:00:00
theStreet since,2016-05-25 00:00:00
cfra since,2018-04-28 00:00:00
ford since,2020-03-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
