,DRI
% Above Low,1.8574000000000002
% Held by Institutions,0.8140999999999999
52-Wk Range,['26.15 - 128.41']
Annual Dividend $,
Annual Dividend %,
Ask,74.99
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,1.3
Bid,74.73
Bid Size,400.0
Closing Price,74.72
Day Change $,4.19
Day Change %,0.0594
Day High,74.88
Day Low,71.75
Dividend Pay Date,02/03/20
"EPS (TTM, GAAP)",5.16
Ex-dividend Date,01/09/20
Historical Volatility,0.741
Last (size),24.0
Last (time),6:30p ET 05/08/20
Market Cap,9.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.68
Prev Close,70.53
Short Interest,0.0541
Today's Open,72.02
Volume,2996296.0
Volume 10-day Avg,3091215.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-06-25 00:00:00
Growth Analysts,27.0
Growth 1yr Low Est,-0.9391304347826087
Growth 1yr High Est,-0.4058219178082191
Growth 1yr Consensus Est,-0.6724761762954139
Growth 2yr Low Est,-0.5124223602484472
Growth 2yr High Est,0.1457922111247088
Growth 2yr Consensus Est,-0.1833150745618692
Growth 5yr Low Est,-0.15370586380311776
Growth 5yr High Est,0.17482551256088577
Growth 5yr Consensus Est,0.010559824378884003
Growth 5yr Actual/Est,-0.030757924971954176
Growth 3yr Historic,0.10162415572863337
Price/Earnings (TTM),13.67849
Price/Sales (TTM),1.045
Price/Book (MRQ),3.63988
Price/Cash Flow (TTM),9.26602
5yr Low,26.15
5yr High,128.41
5yr Avg Return,0.045950000000000005
EPS Growth 5yr,0.3303115
Revenue Growth 5yr,0.0624797
Dividend Growth 5yr,
Short Int Current Month,6514364.0
Short Int Prev Month,5872039.0
Short Int Pct of Float,0.0540623
Days to Cover,1.60578
Float,129.4943
Shares Outstanding,129.8793
Institutions Holding Shares,933.0
FCF Growth 5yr,0.5547423538758934
"Price/Earnings (TTM, GAAP)",13.68
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.21660000000000001
Operating Profit Margin (TTM),0.0992
Net Profit Margin (TTM),0.0729
Annual Dividend Yield,
Dividend Change %,0.17550000000000002
"Dividend Growth Rate, 3 Years",0.1023
EPS Growth (MRQ),8.2522
EPS Growth (TTM),-0.053099999999999994
Revenue Growth (MRQ),0.1411
Revenue Growth (TTM),0.041600000000000005
Return On Equity (TTM),0.2745
Return On Assets (TTM),0.0816
Return On Investment (TTM),0.10189999999999999
Revenue Per Employee (TTM),47508.0
Total Debt/Total Capital (MRQ),0.35340000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),0.27
Interest Coverage (MRQ),25.56
newConstructs,1
researchTeam,reduce
theStreet,hold
cfra,3
ford,4
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
theStreet since,2020-03-19 00:00:00
cfra since,2019-12-20 00:00:00
ford since,2020-04-17 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
