,DTE
% Above Low,0.42200000000000004
% Held by Institutions,0.7439
52-Wk Range,['71.21 - 135.67']
Annual Dividend $,4.05
Annual Dividend %,0.040999999999999995
Ask,102.0
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,0.6
Bid,99.0
Bid Size,500.0
Closing Price,101.26
Day Change $,2.54
Day Change %,0.025699999999999997
Day High,101.69
Day Low,99.65
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",6.3
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.445
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,19.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.67
Prev Close,98.72
Short Interest,0.024700000000000003
Today's Open,100.0
Volume,1018752.0
Volume 10-day Avg,1215653.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.004838709677419395
Growth 1yr High Est,0.07131537242472263
Growth 1yr Consensus Est,0.038077041051071014
Growth 2yr Low Est,0.0497708797183245
Growth 2yr High Est,0.07411922467389986
Growth 2yr Consensus Est,0.06194505219611218
Growth 5yr Low Est,0.057785783077658415
Growth 5yr High Est,0.0718322756252382
Growth 5yr Consensus Est,0.0648090293514483
Growth 5yr Actual/Est,0.06152109375524967
Growth 3yr Historic,0.031753130590339906
Price/Earnings (TTM),15.66713
Price/Sales (TTM),1.50065
Price/Book (MRQ),1.62567
Price/Cash Flow (TTM),7.80767
5yr Low,71.21
5yr High,135.67
5yr Avg Return,0.054299999999999994
EPS Growth 5yr,0.04290530000000001
Revenue Growth 5yr,0.0059129
Dividend Growth 5yr,0.0732118
Short Int Current Month,4733597.0
Short Int Prev Month,4509070.0
Short Int Pct of Float,0.024658799999999998
Days to Cover,3.36511
Float,191.4558
Shares Outstanding,192.5819
Institutions Holding Shares,905.0
FCF Growth 5yr,0.6016636871900027
"Price/Earnings (TTM, GAAP)",15.67
"PEG Ratio (TTM, GAAP)",2.63
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.13470000000000001
Net Profit Margin (TTM),0.0925
Annual Dividend Yield,0.040999999999999995
Dividend Change %,0.0708
"Dividend Growth Rate, 3 Years",0.0849
EPS Growth (MRQ),-0.1911
EPS Growth (TTM),0.0011
Revenue Growth (MRQ),0.009300000000000001
Revenue Growth (TTM),-0.1086
Return On Equity (TTM),0.10650000000000001
Return On Assets (TTM),0.03
Return On Investment (TTM),0.0339
Revenue Per Employee (TTM),1184019.0
Total Debt/Total Capital (MRQ),0.5959000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),0.58
Interest Coverage (MRQ),3.17
newConstructs,4
researchTeam,reduce
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,neutral
theStreet,hold
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-24 00:00:00
cfra since,2020-01-24 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-01-13 00:00:00
theStreet since,2020-04-03 00:00:00
