,DUK
Next Earnings Announcement,2020-05-12 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.04040404040404044
Growth 1yr High Est,0.08498023715415037
Growth 1yr Consensus Est,0.022288098375054965
Growth 2yr Low Est,0.036640085061137695
Growth 2yr High Est,0.06252654844957062
Growth 2yr Consensus Est,0.049583316755354157
Growth 5yr Low Est,0.04157366708338378
Growth 5yr High Est,0.05567450610884328
Growth 5yr Consensus Est,0.04862408659611353
Growth 5yr Actual/Est,0.046174255161582356
Growth 3yr Historic,0.026214163854170525
