,DVA
Price/Earnings (TTM),13.76322
Price/Sales (TTM),0.84999
Price/Book (MRQ),5.01265
Price/Cash Flow (TTM),5.89637
5yr Low,43.4
5yr High,90.15
5yr Avg Return,0.024649999999999995
EPS Growth 5yr,0.0659154
Revenue Growth 5yr,-0.023022900000000002
Dividend Growth 5yr,
Short Int Current Month,5798828.0
Short Int Prev Month,6567418.0
Short Int Pct of Float,0.0474479
Days to Cover,3.96546
Float,118.4575
Shares Outstanding,121.8
Institutions Holding Shares,659.0
% Held by Institutions,0.95574
FCF Growth 5yr,0.3943224942018575
