,EA
% Below High,0.0297
% Held by Institutions,0.9328
52-Wk Range,['85.69 - 120.19']
Annual Dividend $,
Annual Dividend %,
Ask,117.06
Ask Size,200.0
B/A Ratio,3.0
B/A Size,600x200
Beta,0.9
Bid,116.71
Bid Size,600.0
Closing Price,116.62
Day Change $,-0.18
Day Change %,-0.0015
Day High,117.52
Day Low,115.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.25
Ex-dividend Date,No dividend
Historical Volatility,0.359
Last (size),10.0
Last (time),3:59p ET 05/08/20
Market Cap,33.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.4
Prev Close,116.8
Shares Outstanding,289.7M
Short Interest,0.022400000000000003
Today's Open,116.25
Volume,3599068.0
Volume 10-day Avg,3648914.0
Volume Past Day,(Average)
