,EA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.4,67.57,Valuation,0.16871392629865328
Price/Sales (TTM),6.11,7.74,Valuation,0.789405684754522
Price/Book (MRQ),4.53,11.0,Valuation,0.41181818181818186
"PEG Ratio (TTM, GAAP)",0.92,1.47,Valuation,0.6258503401360545
Gross Profit Margin (TTM),0.7528,0.4175,Profitability,1.8031137724550899
Operating Profit Margin (TTM),0.261,0.07,Profitability,3.728571428571428
Net Profit Margin (TTM),0.5489,0.030699999999999998,Profitability,17.879478827361567
Annual Dividend Yield,,0.001,Dividend,
Dividend Change %,,0.0263,Dividend,
"Dividend Growth Rate, 3 Years",,0.0351,Dividend,
EPS Growth (MRQ),0.2164,-0.177,Gowth rates,-1.2225988700564974
EPS Growth (TTM),2.0793,-0.4598,Gowth rates,-4.5221835580687255
Revenue Growth (MRQ),-0.1293,0.2641,Gowth rates,-0.4895872775463839
Revenue Growth (TTM),0.1186,0.2943,Gowth rates,0.40299014610941214
Return On Equity (TTM),0.47509999999999997,-0.0116,Effectiveness,-40.956896551724135
Return On Assets (TTM),0.3029,0.0339,Effectiveness,8.935103244837759
Return On Investment (TTM),0.40149999999999997,0.0291,Effectiveness,13.797250859106528
Revenue Per Employee (TTM),,1068590.0,Effectiveness,
Total Debt/Total Capital (MRQ),0.1178,0.42,Financial strength,0.2804761904761905
Change in Debt/Total Capital Quarter over Quarter,-0.0019,0.0005,Financial strength,-3.8
Quick Ratio (MRQ),,0.49,Financial strength,
Interest Coverage (MRQ),,6.02,Financial strength,
