,2015,2016,2017,2018,2019,2020,Report
high,66.73,33.19,39.28,46.99,42.0,41.61,
low,23.23,21.52,29.51,26.01,27.56,26.02,
change,-0.5331,0.09519999999999999,0.2652,-0.2646,0.306,0.1576,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,1832.0,1816.0,2120.0,2202.0,975.0,,Balance Sheet
Short Term Investments,4271.0,5314.0,3723.0,2696.0,1829.0,,Balance Sheet
Cash and Short Term Invs,6103.0,7130.0,5843.0,4898.0,2804.0,,Balance Sheet
"Trade Accts Recvble, Gross",703.0,673.0,798.0,818.0,828.0,,Balance Sheet
Prov. for Doubtful Accts,-84.0,-81.0,-102.0,-106.0,-128.0,,Balance Sheet
"Trade Accts Recvble, Net",619.0,592.0,696.0,712.0,700.0,,Balance Sheet
Other Receivables,523.0,590.0,662.0,670.0,632.0,,Balance Sheet
"Total Receivables, Net",1142.0,1182.0,1358.0,1382.0,1332.0,,Balance Sheet
Restricted Cash - Current,28.0,19.0,20.0,17.0,21.0,,Balance Sheet
Other Current Assets,631.0,544.0,523.0,829.0,549.0,,Balance Sheet
"Other Curr. Assets, Total",659.0,563.0,543.0,846.0,570.0,,Balance Sheet
Total Current Assets,7904.0,8875.0,7744.0,7126.0,4706.0,,Balance Sheet
Buildings,305.0,334.0,370.0,399.0,421.0,,Balance Sheet
Land/Improvements,591.0,619.0,620.0,713.0,740.0,,Balance Sheet
Machinery/Equipment,3894.0,4214.0,4609.0,4933.0,5029.0,,Balance Sheet
Construction in Progress,131.0,160.0,239.0,130.0,104.0,,Balance Sheet
Other Prop./Plant/Equip.,157.0,157.0,169.0,169.0,803.0,,Balance Sheet
Prop./Plant/Equip. - Gross,5078.0,5484.0,6007.0,6344.0,7097.0,,Balance Sheet
Accumulated Depreciation,-3524.0,-3968.0,-4410.0,-4747.0,-4959.0,,Balance Sheet
Prop./Plant/Equip. - Net,1554.0,1516.0,1597.0,1597.0,2138.0,,Balance Sheet
"Goodwill, Net",4451.0,4501.0,4773.0,5160.0,5153.0,,Balance Sheet
Intangibles - Gross,1408.0,1419.0,1494.0,1541.0,1475.0,,Balance Sheet
Accum. Intangible Amort.,-1318.0,-1317.0,-1425.0,-1449.0,-1408.0,,Balance Sheet
Intangibles - Net,90.0,102.0,69.0,92.0,67.0,,Balance Sheet
LT Invt. - Affiliate Comp.,,118.0,885.0,143.0,355.0,,Balance Sheet
LT Investments - Other,3391.0,3851.0,5446.0,3635.0,961.0,,Balance Sheet
Long Term Investments,3391.0,3969.0,6331.0,3778.0,1316.0,,Balance Sheet
Other Long Term Assets,365.0,276.0,273.0,274.0,417.0,,Balance Sheet
Total Assets,17755.0,23847.0,25986.0,22819.0,18174.0,,Balance Sheet
Accounts Payable,349.0,283.0,330.0,286.0,270.0,,Balance Sheet
Payable/Accrued,472.0,524.0,629.0,681.0,736.0,,Balance Sheet
Accrued Expenses,1239.0,1321.0,1476.0,1616.0,1643.0,,Balance Sheet
Notes Payable/ST Debt,0.0,1.0,31.0,4.0,11.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,1450.0,750.0,1542.0,1011.0,,Balance Sheet
Customer Advances,106.0,110.0,137.0,170.0,158.0,,Balance Sheet
Income Taxes Payable,72.0,110.0,177.0,117.0,212.0,,Balance Sheet
Other Current Liabilities,25.0,48.0,29.0,38.0,25.0,,Balance Sheet
"Other Curr. Lblts, Total",203.0,268.0,343.0,325.0,395.0,,Balance Sheet
Total Current Liabilities,2263.0,3847.0,3559.0,4454.0,4066.0,,Balance Sheet
Long Term Debt,6749.0,7509.0,9234.0,7685.0,6722.0,,Balance Sheet
Capital Lease Obligations,,,,,16.0,,Balance Sheet
Total Long Term Debt,6749.0,7509.0,9234.0,7685.0,6738.0,,Balance Sheet
Total Debt,6749.0,8960.0,10015.0,9231.0,7760.0,,Balance Sheet
Deferred Income Tax,2092.0,1888.0,3424.0,2925.0,2646.0,,Balance Sheet
"Other Liabilities, Total",75.0,64.0,1720.0,1474.0,1854.0,,Balance Sheet
Total Liabilities,11179.0,13308.0,17937.0,16538.0,15304.0,,Balance Sheet
Common Stock,2.0,2.0,2.0,2.0,2.0,,Balance Sheet
Additional Paid-In Capital,14538.0,14907.0,15293.0,15716.0,16126.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),7713.0,14959.0,13929.0,16459.0,17754.0,,Balance Sheet
Treasury Stock - Common,-16203.0,-19205.0,-21892.0,-26394.0,-31396.0,,Balance Sheet
Unrealized Gain (Loss),845.0,51.0,-15.0,-56.0,5.0,,Balance Sheet
Cum. Trans. Adjustment,-45.0,-230.0,748.0,462.0,363.0,,Balance Sheet
Other Comprehensive Income,-274.0,55.0,-16.0,92.0,16.0,,Balance Sheet
"Other Equity, Total",-319.0,-175.0,732.0,554.0,379.0,,Balance Sheet
Total Equity,6576.0,10539.0,8049.0,6281.0,2870.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,17755.0,23847.0,25986.0,22819.0,18174.0,,Balance Sheet
Ttl Comm. Shares Outs.,1184.0,1087.0,1029.0,915.0,796.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,443.0,557.0,632.0,763.0,897.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,8592.0,9298.0,9927.0,10746.0,10800.0,,Income Statement
"Cost of Revenue, Total",1771.0,2004.0,2221.0,2382.0,2508.0,,Income Statement
Selling/Gen/Admin Expense,3094.0,3366.0,3656.0,4240.0,4054.0,,Income Statement
Labor & Related Expense,233.0,224.0,252.0,282.0,252.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",3327.0,3590.0,3908.0,4522.0,4306.0,,Income Statement
Research & Development,923.0,1114.0,1224.0,1285.0,1240.0,,Income Statement
Depreciation/Amortization,41.0,34.0,38.0,49.0,48.0,,Income Statement
Restructuring Charge,62.0,,,,77.0,,Income Statement
Other Unusual Expnse (In),,,-167.0,,52.0,,Income Statement
Unusual Expense (Income),62.0,,-167.0,,129.0,,Income Statement
"Other Operat Expse, Total",271.0,231.0,272.0,286.0,300.0,,Income Statement
Total Operating Expense,6395.0,6973.0,7496.0,8524.0,8531.0,,Income Statement
Total Operating Income,2197.0,2325.0,2431.0,2222.0,2269.0,,Income Statement
"Inter Expse,Net Non-Operat",-144.0,-225.0,-292.0,-326.0,-312.0,,Income Statement
"Inter Income, Non-Operating",97.0,125.0,177.0,176.0,120.0,,Income Statement
"Invest Income, Non-Operat",267.0,1455.0,-44.0,672.0,254.0,,Income Statement
"Inter/Invest Inc, Non-Oper",364.0,1580.0,133.0,848.0,374.0,,Income Statement
"Inter Inc(Exp),Net Non-Oper",,-112.0,-8.0,-9.0,-121.0,,Income Statement
"Other, Net",-11.0,83.0,11.0,-17.0,-3.0,,Income Statement
Income Before Tax,2406.0,3651.0,2275.0,2718.0,2207.0,,Income Statement
Income Tax - Total,459.0,-3634.0,188.0,653.0,415.0,,Income Statement
Income After Tax,1947.0,7285.0,2087.0,2065.0,1792.0,,Income Statement
Net Inc Before Extra Items,1947.0,7285.0,2087.0,2065.0,1792.0,,Income Statement
Discontinued Operations,-222.0,-19.0,-4.0,2.0,-6.0,,Income Statement
Extraordinary Item,,,-3100.0,463.0,0.0,,Income Statement
Total Extraordinary Items,-222.0,-19.0,-3104.0,465.0,-6.0,,Income Statement
Total Net Income,1725.0,7266.0,-1017.0,2530.0,1786.0,,Income Statement
Income Available to Common Excl. Extra. Items,1947.0,7285.0,2087.0,2065.0,1792.0,,Income Statement
Income Available to Common Incl. Extra. Items,1725.0,7266.0,-1017.0,2530.0,1786.0,,Income Statement
Basic/Primary Weighted Average Shares,1208.0,1133.0,1064.0,980.0,849.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,1.61,6.43,1.96,2.11,2.11,,Income Statement
