,EBAY
% Below High,0.0068000000000000005
% Held by Institutions,1.0415
52-Wk Range,['26.02 - 42.44']
Annual Dividend $,0.64
Annual Dividend %,0.0155
Ask,42.28
Ask Size,900.0
B/A Ratio,1.0
B/A Size,900x900
Beta,1.4
Bid,42.15
Bid Size,900.0
Closing Price,42.15
Day Change $,0.78
Day Change %,0.0189
Day High,42.44
Day Low,41.7
Dividend Pay Date,2020-06-19 00:00:00
"EPS (TTM, GAAP)",2.16
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.331
Last (size),10.0
Last (time),4:15p ET 05/08/20
Market Cap,29.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.14
Prev Close,41.37
Shares Outstanding,700.9M
Short Interest,0.0327
Today's Open,41.7
Volume,8946445.0
Volume 10-day Avg,13592028.0
Volume Past Day,(Light)
