,ECL
% Below High,0.0638
% Held by Institutions,0.8504
52-Wk Range,['124.60 - 211.24']
Annual Dividend $,1.88
Annual Dividend %,0.0097
Ask,215.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,195.0
Bid Size,100.0
Closing Price,197.76
Day Change $,3.64
Day Change %,0.018799999999999997
Day High,198.44
Day Low,194.86
Dividend Pay Date,2020-07-15 00:00:00
"EPS (TTM, GAAP)",5.29
Ex-dividend,2020-06-15 00:00:00
Ex-dividend Date,06/15/20
Historical Volatility,0.43200000000000005
Last (size),1800.0
Last (time),6:30p ET 05/08/20
Market Cap,57.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",36.69
Prev Close,194.12
Shares Outstanding,289.2M
Short Interest,0.0121
Today's Open,197.0
Volume,1052613.0
Volume 10-day Avg,1456104.0
Volume Past Day,(Light)
