,2015,2016,2017,2018,2019,2020,Report
high,114.46,136.97,147.02,138.69,148.59,164.77,
low,90.94,91.72,89.59,88.68,90.69,103.01,
change,0.12840000000000001,0.0756,-0.005600000000000001,-0.2119,0.5341,0.061900000000000004,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,93.0,129.0,336.0,224.0,401.0,,Balance Sheet
"Trade Accts Recvble, Gross",357.0,441.0,454.0,480.0,543.0,,Balance Sheet
Prov. for Doubtful Accts,-8.0,-8.0,-9.0,-11.0,-11.0,,Balance Sheet
"Total Receivables, Net",350.0,433.0,445.0,469.0,532.0,,Balance Sheet
Prepaid Expenses,39.0,60.0,94.0,100.0,88.0,,Balance Sheet
"Other Curr. Assets, Total",79.0,50.0,123.0,110.0,188.0,,Balance Sheet
Total Current Assets,562.0,673.0,998.0,902.0,1209.0,,Balance Sheet
Land/Improvements,195.0,204.0,213.0,216.0,236.0,,Balance Sheet
Machinery/Equipment,460.0,580.0,735.0,1029.0,1305.0,,Balance Sheet
Prop./Plant/Equip. - Gross,655.0,784.0,947.0,1245.0,1541.0,,Balance Sheet
Accumulated Depreciation,-288.0,-317.0,-380.0,-480.0,-593.0,,Balance Sheet
Prop./Plant/Equip. - Net,367.0,467.0,567.0,765.0,948.0,,Balance Sheet
"Goodwill, Net",2571.0,3974.0,4184.0,4130.0,4308.0,,Balance Sheet
Intangibles - Gross,1535.0,2127.0,2095.0,1972.0,1915.0,,Balance Sheet
Accum. Intangible Amort.,-612.0,-709.0,-753.0,-778.0,-776.0,,Balance Sheet
Intangibles - Net,923.0,1419.0,1342.0,1194.0,1140.0,,Balance Sheet
Other Long Term Assets,80.0,131.0,142.0,162.0,304.0,,Balance Sheet
Total Assets,4502.0,6664.0,7233.0,7153.0,7909.0,,Balance Sheet
Accounts Payable,41.0,81.0,110.0,176.0,148.0,,Balance Sheet
Accrued Expenses,252.0,308.0,280.0,344.0,320.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,563.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,49.0,585.0,403.0,5.0,3.0,,Balance Sheet
Customer Advances,97.0,111.0,108.0,98.0,104.0,,Balance Sheet
Other Current Liabilities,165.0,174.0,209.0,204.0,784.0,,Balance Sheet
"Other Curr. Lblts, Total",262.0,285.0,318.0,302.0,888.0,,Balance Sheet
Total Current Liabilities,604.0,1260.0,1674.0,827.0,1359.0,,Balance Sheet
Total Long Term Debt,1138.0,2087.0,1739.0,2631.0,3380.0,,Balance Sheet
Total Debt,1188.0,2672.0,2704.0,2636.0,3383.0,,Balance Sheet
Deferred Income Tax,206.0,325.0,305.0,316.0,248.0,,Balance Sheet
Minority Interest,40.0,59.0,65.0,48.0,44.0,,Balance Sheet
Pension Benefits - Underfunded,146.0,184.0,176.0,139.0,119.0,,Balance Sheet
Other LT Liabilities,57.0,87.0,101.0,85.0,181.0,,Balance Sheet
"Other Liabilities, Total",203.0,271.0,277.0,224.0,300.0,,Balance Sheet
Total Liabilities,2191.0,4001.0,4059.0,4045.0,5330.0,,Balance Sheet
Redeemable Preferred Stock,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,237.0,237.0,237.0,237.0,237.0,,Balance Sheet
Additional Paid-In Capital,1261.0,1313.0,1333.0,1357.0,1405.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),3834.0,4153.0,4601.0,4718.0,4132.0,,Balance Sheet
Treasury Stock - Common,-2530.0,-2506.0,-2578.0,-2571.0,-2557.0,,Balance Sheet
Cum. Trans. Adjustment,,-262.0,-103.0,-328.0,-352.0,,Balance Sheet
Other Equity,-6.0,-6.0,-6.0,-6.0,-6.0,,Balance Sheet
Min. Pension Lblty Adj.,,-266.0,-308.0,-297.0,-278.0,,Balance Sheet
