,EFX
% Below High,0.0934
% Held by Institutions,0.9745999999999999
52-Wk Range,['103.01 - 164.77']
Annual Dividend $,1.56
Annual Dividend %,0.0105
Ask,172.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,138.05
Bid Size,100.0
Closing Price,149.38
Day Change $,1.07
Day Change %,0.0072
Day High,150.71
Day Low,148.52
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",2.21
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.375
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,18.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",67.26
Prev Close,148.31
Shares Outstanding,121.4M
Short Interest,0.0215
Today's Open,148.82
Volume,506270.0
Volume 10-day Avg,777188.0
Volume Past Day,(Light)
