,EL
Price/Earnings (TTM),48.54183
Price/Sales (TTM),4.00532
Price/Book (MRQ),14.29799
Price/Cash Flow (TTM),32.35659
5yr Low,73.67
5yr High,220.42
5yr Avg Return,0.16196666666666665
EPS Growth 5yr,0.0954799
Revenue Growth 5yr,0.0626462
Dividend Growth 5yr,
Short Int Current Month,3249732.0
Short Int Prev Month,5538747.0
Short Int Pct of Float,0.0152425
Days to Cover,1.6601
Float,213.3227
Shares Outstanding,359.9986
Institutions Holding Shares,1385.0
% Held by Institutions,0.881045
FCF Growth 5yr,0.0587839710151072
