,EQIX
% Below High,0.0525
% Held by Institutions,0.9536
52-Wk Range,['471.65 - 715.75']
Annual Dividend $,10.64
Annual Dividend %,0.0158
Ask,678.22
Ask Size,1200.0
B/A Ratio,0.5833333333333334
B/A Size,700x1200
Beta,0.4
Bid,677.62
Bid Size,700.0
Closing Price,678.16
Day Change $,2.82
Day Change %,0.0042
Day High,686.99
Day Low,671.35
Dividend Pay Date,2020-06-17 00:00:00
"EPS (TTM, GAAP)",5.94
Ex-dividend,2020-05-19 00:00:00
Ex-dividend Date,05/19/20
Historical Volatility,0.38
Last (size),10900.0
Last (time),4:15p ET 05/08/20
Market Cap,58.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",113.75
Prev Close,675.34
Short Interest,0.011200000000000002
Today's Open,679.89
Volume,439421.0
Volume 10-day Avg,473117.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.06956521739130439
Growth 1yr High Est,0.3091190108191655
Growth 1yr Consensus Est,0.18934211410523494
Growth 2yr Low Est,0.12258748674443265
Growth 2yr High Est,0.2549136966728649
Growth 2yr Consensus Est,0.18875059170864877
Growth 5yr Low Est,0.26501340086645914
Growth 5yr High Est,0.24276104574173418
Growth 5yr Consensus Est,0.2538872233040967
Growth 5yr Actual/Est,0.31979328839857146
Growth 3yr Historic,0.20839912280701756
Price/Earnings (TTM),113.7491
Price/Sales (TTM),10.28269
Price/Book (MRQ),6.69368
Price/Cash Flow (TTM),31.95513
5yr Low,242.8
5yr High,715.75
5yr Avg Return,0.20521666666666669
EPS Growth 5yr,
Revenue Growth 5yr,0.1787891
Dividend Growth 5yr,
Short Int Current Month,948616.0
Short Int Prev Month,1022040.0
Short Int Pct of Float,0.0111606
Days to Cover,1.61038
Float,85.49671
Shares Outstanding,85.92704
Institutions Holding Shares,1157.0
FCF Growth 5yr,-2.498700829245995
"Price/Earnings (TTM, GAAP)",113.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4915
Operating Profit Margin (TTM),0.19219999999999998
Net Profit Margin (TTM),0.0901
Annual Dividend Yield,0.0158
Dividend Change %,0.0928
"Dividend Growth Rate, 3 Years",0.1165
EPS Growth (MRQ),-0.0507
EPS Growth (TTM),0.1595
Revenue Growth (MRQ),0.0193
Revenue Growth (TTM),0.08130000000000001
Return On Equity (TTM),0.059500000000000004
Return On Assets (TTM),0.0221
Return On Investment (TTM),0.0239
Revenue Per Employee (TTM),673605.0
Total Debt/Total Capital (MRQ),0.5739
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,4
researchTeam,hold
theStreet,buy
cfra,4
creditSuisse,outperform
ford,3
marketEdge opinion,long
marketEdge,-1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-27 00:00:00
theStreet since,2018-06-27 00:00:00
cfra since,2015-07-30 00:00:00
creditSuisse since,2017-06-29 00:00:00
ford since,2019-09-27 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
