,EQIX
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.06956521739130439
Growth 1yr High Est,0.3091190108191655
Growth 1yr Consensus Est,0.18934211410523494
Growth 2yr Low Est,0.12258748674443265
Growth 2yr High Est,0.2549136966728649
Growth 2yr Consensus Est,0.18875059170864877
Growth 5yr Low Est,0.26501340086645914
Growth 5yr High Est,0.24276104574173418
Growth 5yr Consensus Est,0.2538872233040967
Growth 5yr Actual/Est,0.31979328839857146
Growth 3yr Historic,0.20839912280701756
