,2015,2016,2017,2018,2019,2020,Report
high,82.39,81.76,70.46,72.75,89.55,87.53,
low,61.9,58.28,59.49,54.97,63.41,49.62,
change,0.0931,-0.2034,-0.017,0.0319,0.23690000000000003,-0.21030000000000001,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,25182.0,25386.0,26027.0,26511.0,27534.0,,Balance Sheet
Accumulated Depreciation,-4905.0,-5360.0,-6040.0,-6696.0,-7277.0,,Balance Sheet
Prop./Plant/Equip. - Net,20277.0,20026.0,19987.0,19815.0,20770.0,,Balance Sheet
Long Term Investments,68.0,60.0,58.0,58.0,52.0,,Balance Sheet
Disct. Ops. - LT Asset,2181.0,0.0,,,,,Balance Sheet
Restricted Cash - LT,113.0,142.0,50.0,69.0,71.0,,Balance Sheet
Other Assets,429.0,399.0,425.0,405.0,234.0,,Balance Sheet
"Other Assets, Total",429.0,399.0,425.0,405.0,234.0,,Balance Sheet
Total Assets,23110.0,20704.0,20571.0,20394.0,21173.0,,Balance Sheet
Payable/Accrued,187.0,147.0,115.0,102.0,94.0,,Balance Sheet
Accrued Expenses,85.0,61.0,58.0,63.0,375.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Dividends Payable,209.0,192.0,193.0,207.0,218.0,,Balance Sheet
Security Deposits,78.0,63.0,65.0,67.0,70.0,,Balance Sheet
"Other Curr. Lblts, Total",287.0,255.0,258.0,274.0,288.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Long Term Debt,10921.0,8987.0,8957.0,8818.0,9037.0,,Balance Sheet
Capital Lease Obligations,,,,,23.0,,Balance Sheet
Total Long Term Debt,10921.0,8987.0,8957.0,8818.0,9060.0,,Balance Sheet
Total Debt,10921.0,8987.0,8957.0,8818.0,9060.0,,Balance Sheet
Minority Interest,793.0,674.0,598.0,606.0,692.0,,Balance Sheet
"Other Liabilities, Total",366.0,350.0,342.0,359.0,347.0,,Balance Sheet
Total Liabilities,12640.0,10475.0,10328.0,10221.0,10857.0,,Balance Sheet
Redeemable Preferred Stock,37.0,37.0,37.0,37.0,37.0,,Balance Sheet
Common Stock,4.0,4.0,4.0,4.0,4.0,,Balance Sheet
Additional Paid-In Capital,8572.0,8758.0,8887.0,8935.0,8966.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),2009.0,1544.0,1404.0,1262.0,1386.0,,Balance Sheet
"Other Equity, Total",-152.0,-114.0,-89.0,-65.0,-78.0,,Balance Sheet
Total Equity,10470.0,10229.0,10242.0,10173.0,10316.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,23110.0,20704.0,20571.0,20394.0,21173.0,,Balance Sheet
Ttl Comm. Shares Outs.,365.0,366.0,368.0,369.0,372.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Trsry Shrs-Pref. Iss. 1,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,2745.0,2426.0,2471.0,2578.0,2701.0,,Income Statement
"Cost of Revenue, Total",905.0,806.0,826.0,880.0,908.0,,Income Statement
"Sell/Gen/AdminExpenses,Tot",65.0,58.0,52.0,54.0,53.0,,Income Statement
Depreciation/Amortization,766.0,706.0,744.0,786.0,831.0,,Income Statement
Unusual Expense (Income),,,-155.0,-256.0,-448.0,,Income Statement
Loss(Gain)/Sale Asts (Oper),,,-157.0,-257.0,-448.0,,Income Statement
Total Operating Expense,1736.0,1570.0,1467.0,1463.0,1345.0,,Income Statement
Total Operating Income,1009.0,856.0,1005.0,1115.0,1357.0,,Income Statement
"Inter Expse,Net Non-Operat",-455.0,-495.0,-392.0,-425.0,-402.0,,Income Statement
"Inter/Invest Inc, Non-Oper",7.0,66.0,6.0,15.0,3.0,,Income Statement
Gain(Loss)on Sale of Assets,335.0,4060.0,19.0,1.0,2.0,,Income Statement
"Other, Net",-3.0,-10.0,-5.0,-17.0,-18.0,,Income Statement
Income Before Tax,894.0,4476.0,632.0,690.0,941.0,,Income Statement
Income Tax - Total,1.0,2.0,0.0,1.0,-2.0,,Income Statement
Income After Tax,893.0,4475.0,632.0,689.0,944.0,,Income Statement
Minority Interest,-38.0,-188.0,-25.0,-28.0,-39.0,,Income Statement
Equity In Affiliates,15.0,5.0,-3.0,-4.0,66.0,,Income Statement
Net Inc Before Extra Items,870.0,4292.0,603.0,658.0,970.0,,Income Statement
Total Extraordinary Items,0.0,0.0,,,,,Income Statement
Total Net Income,870.0,4292.0,603.0,658.0,970.0,,Income Statement
Total Adjust to Net Income,-7.0,-3.0,-3.0,-3.0,-3.0,,Income Statement
Income Available to Common Excl. Extra. Items,863.0,4289.0,600.0,654.0,967.0,,Income Statement
Income Available to Common Incl. Extra. Items,863.0,4289.0,600.0,654.0,967.0,,Income Statement
Basic/Primary Weighted Average Shares,363.0,365.0,367.0,368.0,370.0,,Income Statement
Basic/Primary EPS Excl. Extra. Items,2.37,11.75,1.64,1.78,2.61,,Income Statement
Basic/Primary EPS Incl. Extra. Items,2.37,11.75,1.64,1.78,2.61,,Income Statement
Dilution Adjustment,34.0,172.0,23.0,25.0,36.0,,Income Statement
Diluted Weighted Average Shares,381.0,382.0,383.0,384.0,386.0,,Income Statement
Diluted EPS Excl. Extra. Items,2.36,11.68,1.63,1.77,2.6,,Income Statement
Diluted EPS Incl. Extra. Items,2.36,11.68,1.63,1.77,2.6,,Income Statement
Div/Share-ComStockPrimIssue,2.16,2.06,2.02,2.12,2.24,,Income Statement
Gross Divid - Common Stock,805.0,4755.0,740.0,796.0,843.0,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",395.0,443.0,392.0,418.0,395.0,,Income Statement
"Interest Capitalized, Suppl",-60.0,-51.0,,-6.0,-7.0,,Income Statement
"Depreciat/Amort, Suppl",766.0,706.0,744.0,786.0,831.0,,Income Statement
Funds From Operats - REIT,1324.0,1124.0,1205.0,1205.0,1311.0,,Income Statement
Total Special Items,-341.0,-4006.0,-178.0,-211.0,-421.0,,Income Statement
